variable,coefficient,std_error,t_value,p_value
ln_gdp,0.039376923508797644,0.04904067818190289,0.8029441061712032,0.42200704145576706
ln_pop,0.02463282822999637,0.05670907763099487,0.43437187235316754,0.6640184198220145
secondary_share,0.10732814789511115,0.10699067255441719,1.0031542501101889,0.3157864429277897
urbanization,-0.1193313766272264,0.1700699833266162,-0.7016604240976066,0.48289095939838855
ln_retail_pc,0.02168329873991261,0.017297965432439662,1.2535172893367525,0.2100175109923541
W_ln_gdp,0.8104867733851319,0.3237640545138372,2.5033253756417015,0.012303237733287231
W_ln_pop,-1.2150888329525527,0.37037972421994725,-3.2806569946873796,0.0010356560887219146
W_secondary_share,-0.2749176457281346,0.7369441087654383,-0.37305087652941404,0.7091105786130751
W_urbanization,-0.7915484165207594,0.9865883846183768,-0.8023086718448839,0.42237442736696895
W_ln_retail_pc,0.26172602649169696,0.08846595945745911,2.9584941834893446,0.0030914607588576892
