variable,direct_effect,indirect_effect,total_effect
ln_gdp,0.058652196700532504,0.0053151370736074025,0.0639673337741399
ln_pop,0.021625102198434082,-0.13831232072406285,-0.11668721852562879
secondary_share,0.06469677435592415,-0.12033057081264358,-0.055633796456719425
urbanization,-0.10680269292264018,-0.14689069479180072,-0.2536933877144409
ln_retail_pc,0.01858775486065314,0.013247345528826272,0.03183510038947941
