variable,coefficient,std_error,t_value,p_value
ln_gdp,0.04865725343847387,0.05109372517847049,0.9523136797818907,0.3409379221200719
ln_pop,0.04493980056699903,0.05775271186622087,0.7781418242505767,0.4364854084845404
secondary_share,0.0559918823343967,0.10788425519426388,0.5189995725842833,0.6037610393079502
urbanization,-0.1254491216760968,0.17152376029724808,-0.731380430668587,0.46454681497900285
ln_retail_pc,0.01647686114042516,0.01762949900269717,0.9346187964788072,0.34998478868184835
W_ln_gdp,0.029094661435845052,0.09263281712143089,0.31408589676923376,0.753455800683354
W_ln_pop,-0.1524058506546966,0.0918625833435388,-1.6590634087084613,0.09710301568482138
W_secondary_share,-0.144425827315371,0.2086591894578203,-0.6921613550337603,0.4888360045215818
W_urbanization,0.5034226409497057,0.3784858553581823,1.3300963135684125,0.18348653999330367
W_ln_retail_pc,0.05412899539352204,0.031521212358196944,1.717224413148121,0.08593817657328073
