year,morans_i_ln_co2
2013,0.13211548538500706
2014,0.13503519003578737
2015,0.12079213510429966
2016,0.10637994621260295
2017,0.11774527942247595
2018,0.11066384738448762
2019,0.08884740931792766
2020,0.10176843245496817
2021,0.11017352785009728
