variable,coefficient,std_error,t_value,p_value
ln_gdp,0.03725415178893771,0.04546031871530208,0.8194872548572312,0.4125084706334228
ln_pop,-0.015438034968797552,0.05087959221690929,-0.3034229304154463,0.7615675729043261
secondary_share,0.008560903239940243,0.09781919824907007,0.0875176181483539,0.930260081904837
urbanization,-0.21226969572578824,0.15816974665875796,-1.3420372745727902,0.17958391007752006
ln_retail_pc,0.00941119740423278,0.01547997199965598,0.6079595883275455,0.5432142767284831
W_ln_gdp,0.5374865407970314,0.19412922150573905,2.7687049720185564,0.005627957234326075
W_ln_pop,-0.7026460989973373,0.34876859723638826,-2.014648407468572,0.04394150156949772
W_secondary_share,1.21908246943712,0.6377260560823219,1.911608374489489,0.055926444381967144
W_urbanization,0.3461789683909774,0.9479591509906123,0.36518342381021607,0.7149744910064761
W_ln_retail_pc,0.021471011978193226,0.022655467039926384,0.9477187974255504,0.34327262885461374
