variable,coefficient,std_error,t_value,p_value
ln_gdp,0.048018321525716993,0.04530175741974861,1.0599659761716913,0.2891600783823831
ln_pop,0.01292324867081458,0.05240147418085244,0.24661994481706298,0.8052023675083309
secondary_share,0.125840000301378,0.09883068119582009,1.2732888084828888,0.2029155765690791
urbanization,-0.12091932754488106,0.15697562186346747,-0.7703064087878113,0.4411181556493311
ln_retail_pc,0.027935196504895808,0.016020952519620078,1.7436663937855716,0.08121727863485484
W_ln_gdp,1.2174718810701242,0.311029602851613,3.9143279929240675,9.065633562954645e-05
W_ln_pop,-1.5462934776598225,0.3489910275198408,-4.43075424789227,9.390405794729162e-06
W_secondary_share,-0.32201448056818566,0.6802755023849704,-0.4733589250814393,0.6359571291316231
W_urbanization,-1.2499376484560965,0.915790253993085,-1.3648732807605688,0.1722928814596334
W_ln_retail_pc,0.381596408381869,0.08551362825323147,4.4624046035311205,8.104501260763897e-06
W_ln_co2,-2.2607322591998145,0.342359865108127,-6.603379921550707,4.0188741223801117e-11
