"year","county_count","total_co2_million_tons"
"2013","85","187.6361319"
"2014","85","202.2741797"
"2015","85","202.2475816"
"2016","85","203.5972603"
"2017","85","209.0548154"
"2018","85","214.1666548"
"2019","85","226.8920627"
"2020","85","227.2264083"
"2021","85","249.2458265"
