"province_year","province_cn","distcode","county_cn","county_en","year_month","year","month","co2_million_tons","co2_10000_tons"
"福建省2013","福建省","350626","东山县","Dongshan County","201301","2013","1","0.157663060662681","15.7663060662681"
"福建省2013","福建省","350627","南靖县","Nanjing County","201301","2013","1","0.13282449899472","13.282449899472"
"福建省2013","福建省","350628","平和县","Pinghe County","201301","2013","1","0.148750008440873","14.8750008440873"
"福建省2013","福建省","350629","华安县","Hua'an County","201301","2013","1","0.125903255142075","12.5903255142075"
"福建省2013","福建省","350681","龙海市","Longhai  City","201301","2013","1","0.155598785914074","15.5598785914074"
"福建省2013","福建省","350702","延平区","Yanping District","201301","2013","1","0.162982078070251","16.2982078070251"
"福建省2013","福建省","350721","顺昌县","Shunchang County","201301","2013","1","0.0849148404392708","8.49148404392708"
"福建省2013","福建省","350722","浦城县","Pucheng County","201301","2013","1","0.091004796291816","9.1004796291816"
"福建省2013","福建省","350723","光泽县","Guangze County","201301","2013","1","0.134007234457977","13.4007234457977"
"福建省2013","福建省","350724","松溪县","Songxi County","201301","2013","1","0.113771260969093","11.3771260969093"
"福建省2013","福建省","350725","政和县","Zhenghe County","201301","2013","1","0.108497831005592","10.8497831005592"
"福建省2013","福建省","350781","邵武市","Shaowu City","201301","2013","1","0.0972422532228636","9.72422532228636"
"福建省2013","福建省","350782","武夷山市","Wuyishan City","201301","2013","1","0.11467396254834","11.467396254834"
"福建省2013","福建省","350783","建瓯市","Jian'ou City","201301","2013","1","0.160008269077625","16.0008269077625"
"福建省2013","福建省","350784","建阳市","Jianyang City","201301","2013","1","0.115499442279432","11.5499442279432"
"福建省2013","福建省","350802","新罗区","Xinluo District","201301","2013","1","0.123647429380818","12.3647429380818"
"福建省2013","福建省","350821","长汀县","Changting County","201301","2013","1","0.127587276565233","12.7587276565233"
"福建省2013","福建省","350822","永定县","Yongding County","201301","2013","1","0.134646306229574","13.4646306229574"
"福建省2013","福建省","350823","上杭县","Shanghang County","201301","2013","1","0.126580743587389","12.6580743587389"
"福建省2013","福建省","350824","武平县","Wuping County","201301","2013","1","0.126892990045188","12.6892990045188"
"福建省2013","福建省","350825","连城县","Liancheng County","201301","2013","1","0.122100261001119","12.2100261001119"
"福建省2013","福建省","350881","漳平市","Zhangping City","201301","2013","1","0.128984991283806","12.8984991283806"
"福建省2013","福建省","350902","蕉城区","Jiaocheng District","201301","2013","1","0.210552324438364","21.0552324438364"
"福建省2013","福建省","350921","霞浦县","Xiapu County","201301","2013","1","0.209727499844097","20.9727499844097"
"福建省2013","福建省","350922","古田县","Gutian County","201301","2013","1","0.208512339231187","20.8512339231187"
"福建省2013","福建省","350923","屏南县","Pingnan County","201301","2013","1","0.212499834562778","21.2499834562778"
"福建省2013","福建省","350924","寿宁县","Shouning County","201301","2013","1","0.182971592750256","18.2971592750256"
"福建省2013","福建省","350925","周宁县","Zhouning County","201301","2013","1","0.192446387691299","19.2446387691299"
"福建省2013","福建省","350926","柘荣县","Zherong County","201301","2013","1","0.206995145881039","20.6995145881039"
"福建省2013","福建省","350981","福安市","Fu'an City","201301","2013","1","0.210354807557358","21.0354807557358"
"福建省2013","福建省","350982","福鼎市","Fuding City","201301","2013","1","0.209793748379483","20.9793748379483"
"福建省2013","福建省","350102","鼓楼区","Gulou District","201302","2013","2","0.240331078661609","24.0331078661609"
"福建省2013","福建省","350103","台江区","Taijiang District","201302","2013","2","0.240331078661609","24.0331078661609"
"福建省2013","福建省","350104","仓山区","Cangshan District","201302","2013","2","0.236460474400199","23.6460474400199"
"福建省2013","福建省","350105","马尾区","Mawei District","201302","2013","2","0.236366952931067","23.6366952931067"
"福建省2013","福建省","350111","晋安区","Jin'an District","201302","2013","2","0.237952987875647","23.7952987875647"
"福建省2013","福建省","350121","闽侯县","Minhou County","201302","2013","2","0.241528652286771","24.1528652286771"
"福建省2013","福建省","350122","连江县","Lianjiang County","201302","2013","2","0.243170409596306","24.3170409596306"
"福建省2013","福建省","350123","罗源县","Luoyuan County","201302","2013","2","0.239423065434557","23.9423065434557"
"福建省2013","福建省","350124","闽清县","Minqing County","201302","2013","2","0.238142837365099","23.8142837365099"
"福建省2013","福建省","350125","永泰县","Yongtai County","201302","2013","2","0.235637608802484","23.5637608802484"
"福建省2013","福建省","350128","平潭县","Pingtan County","201302","2013","2","0.238785675944377","23.8785675944377"
"福建省2013","福建省","350181","福清市","Fuqing City","201302","2013","2","0.243170409596306","24.3170409596306"
"福建省2013","福建省","350182","长乐市","Changle City","201302","2013","2","0.233875133140919","23.3875133140919"
"福建省2013","福建省","350203","思明区","Siming District","201302","2013","2","0.214290052291035","21.4290052291035"
"福建省2013","福建省","350205","海沧区","Haicang District","201302","2013","2","0.188009159712231","18.8009159712231"
"福建省2013","福建省","350206","湖里区","Huli District","201302","2013","2","0.185404846973252","18.5404846973252"
"福建省2013","福建省","350211","集美区","Jimei District","201302","2013","2","0.191237876488105","19.1237876488105"
"福建省2013","福建省","350212","同安区","Tong'an District","201302","2013","2","0.194168150493293","19.4168150493293"
"福建省2013","福建省","350213","翔安区","Xiang'an District","201302","2013","2","0.185164257823825","18.5164257823825"
"福建省2013","福建省","350302","城厢区","Chengxiang District","201302","2013","2","0.175889232884704","17.5889232884704"
"福建省2013","福建省","350303","涵江区","Hanjiang District","201302","2013","2","0.175045530270818","17.5045530270818"
"福建省2013","福建省","350304","荔城区","Licheng District","201302","2013","2","0.17252525371926","17.252525371926"
"福建省2013","福建省","350305","秀屿区","Xiuyu District","201302","2013","2","0.180597263274323","18.0597263274323"
"福建省2013","福建省","350322","仙游县","Xianyou County","201302","2013","2","0.172364872559128","17.2364872559128"
"福建省2013","福建省","350402","梅列区","Melie district","201302","2013","2","0.247342972376656","24.7342972376656"
"福建省2013","福建省","350403","三元区","Sanyuan District","201302","2013","2","0.224118522160443","22.4118522160443"
"福建省2013","福建省","350421","明溪县","Mingxi County","201302","2013","2","0.220836059425397","22.0836059425397"
"福建省2013","福建省","350423","清流县","Qingliu County","201302","2013","2","0.228484381457854","22.8484381457854"
"福建省2013","福建省","350424","宁化县","Ninghua County","201302","2013","2","0.224158074099234","22.4158074099234"
"福建省2013","福建省","350425","大田县","Datian County","201302","2013","2","0.186086242416365","18.6086242416365"
"福建省2013","福建省","350426","尤溪县","Youxi County","201302","2013","2","0.186022023430727","18.6022023430727"
"福建省2013","福建省","350427","沙县","Sha County","201302","2013","2","0.186022023430727","18.6022023430727"
"福建省2013","福建省","350428","将乐县","Jiangle County","201302","2013","2","0.182930138623981","18.2930138623981"
"福建省2013","福建省","350429","泰宁县","Taining County","201302","2013","2","0.229654630837853","22.9654630837853"
"福建省2013","福建省","350430","建宁县","Jianning County","201302","2013","2","0.223698562961956","22.3698562961956"
"福建省2013","福建省","350481","永安市","Yong'an City","201302","2013","2","0.186917019134859","18.6917019134859"
"福建省2013","福建省","350502","鲤城区","Licheng District","201302","2013","2","0.200024207838514","20.0024207838514"
"福建省2013","福建省","350503","丰泽区","Fengze District","201302","2013","2","0.199906341851434","19.9906341851434"
"福建省2013","福建省","350504","洛江区","Luojiang District","201302","2013","2","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350505","泉港区","Quangang District","201302","2013","2","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350521","惠安县","Hui'an County","201302","2013","2","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350524","安溪县","Anxi County","201302","2013","2","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350525","永春县","Yongchun County","201302","2013","2","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350526","德化县","Dehua County","201302","2013","2","0.195347146637126","19.5347146637126"
"福建省2013","福建省","350527","金门县","Kinmen County","201302","2013","2","0.193300459792543","19.3300459792543"
"福建省2013","福建省","350581","石狮市","Shishi City","201302","2013","2","0.245211828774297","24.5211828774297"
"福建省2013","福建省","350582","晋江市","Jinjiang City","201302","2013","2","0.195347146637126","19.5347146637126"
"福建省2013","福建省","350583","南安市","Nan'an City","201302","2013","2","0.199926309322363","19.9926309322363"
"福建省2013","福建省","350602","芗城区","Xiangcheng District","201302","2013","2","0.157671543539235","15.7671543539235"
"福建省2013","福建省","350603","龙文区","Longwen District","201302","2013","2","0.155598785914074","15.5598785914074"
"福建省2013","福建省","350622","云霄县","Yunxiao County","201302","2013","2","0.156210319948368","15.6210319948368"
"福建省2013","福建省","350623","漳浦县","Zhangpu County","201302","2013","2","0.156210319948368","15.6210319948368"
"福建省2013","福建省","350624","诏安县","Zhao'an County","201302","2013","2","0.157671543539235","15.7671543539235"
"福建省2013","福建省","350625","长泰县","Changtai County","201302","2013","2","0.158599885249677","15.8599885249677"
"福建省2013","福建省","350626","东山县","Dongshan County","201302","2013","2","0.151103380868573","15.1103380868573"
"福建省2013","福建省","350627","南靖县","Nanjing County","201302","2013","2","0.125738225717442","12.5738225717442"
"福建省2013","福建省","350628","平和县","Pinghe County","201302","2013","2","0.149759993027702","14.9759993027702"
"福建省2013","福建省","350629","华安县","Hua'an County","201302","2013","2","0.133632113190379","13.3632113190379"
"福建省2013","福建省","350681","龙海市","Longhai  City","201302","2013","2","0.156210319948368","15.6210319948368"
"福建省2013","福建省","350702","延平区","Yanping District","201302","2013","2","0.143712972002286","14.3712972002286"
"福建省2013","福建省","350721","顺昌县","Shunchang County","201302","2013","2","0.1142879559304","11.42879559304"
"福建省2013","福建省","350722","浦城县","Pucheng County","201302","2013","2","0.0901549005733039","9.01549005733039"
"福建省2013","福建省","350723","光泽县","Guangze County","201302","2013","2","0.135653938737755","13.5653938737755"
"福建省2013","福建省","350724","松溪县","Songxi County","201302","2013","2","0.113771260969093","11.3771260969093"
"福建省2013","福建省","350725","政和县","Zhenghe County","201302","2013","2","0.1141005547285","11.41005547285"
"福建省2013","福建省","350781","邵武市","Shaowu City","201302","2013","2","0.0990843587040231","9.90843587040231"
"福建省2013","福建省","350782","武夷山市","Wuyishan City","201302","2013","2","0.159513437360805","15.9513437360805"
"福建省2013","福建省","350783","建瓯市","Jian'ou City","201302","2013","2","0.16105280640531","16.105280640531"
"福建省2013","福建省","350784","建阳市","Jianyang City","201302","2013","2","0.116599609428269","11.6599609428269"
"福建省2013","福建省","350802","新罗区","Xinluo District","201302","2013","2","0.123977094231713","12.3977094231713"
"福建省2013","福建省","350821","长汀县","Changting County","201302","2013","2","0.127721610767944","12.7721610767944"
"福建省2013","福建省","350822","永定县","Yongding County","201302","2013","2","0.132532212677649","13.2532212677649"
"福建省2013","福建省","350823","上杭县","Shanghang County","201302","2013","2","0.126892990045188","12.6892990045188"
"福建省2013","福建省","350824","武平县","Wuping County","201302","2013","2","0.126892990045188","12.6892990045188"
"福建省2013","福建省","350825","连城县","Liancheng County","201302","2013","2","0.121804950059344","12.1804950059344"
"福建省2013","福建省","350881","漳平市","Zhangping City","201302","2013","2","0.128984991283806","12.8984991283806"
"福建省2013","福建省","350902","蕉城区","Jiaocheng District","201302","2013","2","0.208990081497737","20.8990081497737"
"福建省2013","福建省","350921","霞浦县","Xiapu County","201302","2013","2","0.209727499844097","20.9727499844097"
"福建省2013","福建省","350922","古田县","Gutian County","201302","2013","2","0.208166356433808","20.8166356433808"
"福建省2013","福建省","350923","屏南县","Pingnan County","201302","2013","2","0.22927114122811","22.927114122811"
"福建省2013","福建省","350924","寿宁县","Shouning County","201302","2013","2","0.193101071877413","19.3101071877413"
"福建省2013","福建省","350925","周宁县","Zhouning County","201302","2013","2","0.178149940560659","17.8149940560659"
"福建省2013","福建省","350926","柘荣县","Zherong County","201302","2013","2","0.198115965607553","19.8115965607553"
"福建省2013","福建省","350981","福安市","Fu'an City","201302","2013","2","0.211289741868449","21.1289741868449"
"福建省2013","福建省","350982","福鼎市","Fuding City","201302","2013","2","0.209793748379483","20.9793748379483"
"福建省2013","福建省","350102","鼓楼区","Gulou District","201303","2013","3","0.240331078661609","24.0331078661609"
"福建省2013","福建省","350103","台江区","Taijiang District","201303","2013","3","0.240331078661609","24.0331078661609"
"福建省2013","福建省","350104","仓山区","Cangshan District","201303","2013","3","0.235637608802484","23.5637608802484"
"福建省2013","福建省","350105","马尾区","Mawei District","201303","2013","3","0.235525539172833","23.5525539172833"
"福建省2013","福建省","350111","晋安区","Jin'an District","201303","2013","3","0.237487206666619","23.7487206666619"
"福建省2013","福建省","350121","闽侯县","Minhou County","201303","2013","3","0.241592871272409","24.1592871272409"
"福建省2013","福建省","350122","连江县","Lianjiang County","201303","2013","3","0.241592871272409","24.1592871272409"
"福建省2013","福建省","350123","罗源县","Luoyuan County","201303","2013","3","0.235899921922555","23.5899921922555"
"福建省2013","福建省","350124","闽清县","Minqing County","201303","2013","3","0.237819772445054","23.7819772445054"
"福建省2013","福建省","350125","永泰县","Yongtai County","201303","2013","3","0.238866324662083","23.8866324662083"
"福建省2013","福建省","350128","平潭县","Pingtan County","201303","2013","3","0.236543819716058","23.6543819716058"
"福建省2013","福建省","350181","福清市","Fuqing City","201303","2013","3","0.241528652286771","24.1528652286771"
"福建省2013","福建省","350182","长乐市","Changle City","201303","2013","3","0.239423065434557","23.9423065434557"
"福建省2013","福建省","350203","思明区","Siming District","201303","2013","3","0.207144066269952","20.7144066269952"
"福建省2013","福建省","350205","海沧区","Haicang District","201303","2013","3","0.190431465361891","19.0431465361891"
"福建省2013","福建省","350206","湖里区","Huli District","201303","2013","3","0.184985725250372","18.4985725250372"
"福建省2013","福建省","350211","集美区","Jimei District","201303","2013","3","0.194079460543718","19.4079460543718"
"福建省2013","福建省","350212","同安区","Tong'an District","201303","2013","3","0.19505202628061","19.505202628061"
"福建省2013","福建省","350213","翔安区","Xiang'an District","201303","2013","3","0.185164257823825","18.5164257823825"
"福建省2013","福建省","350302","城厢区","Chengxiang District","201303","2013","3","0.178836823576432","17.8836823576432"
"福建省2013","福建省","350303","涵江区","Hanjiang District","201303","2013","3","0.178419917407182","17.8419917407182"
"福建省2013","福建省","350304","荔城区","Licheng District","201303","2013","3","0.172242768798872","17.2242768798872"
"福建省2013","福建省","350305","秀屿区","Xiuyu District","201303","2013","3","0.18049984855152","18.049984855152"
"福建省2013","福建省","350322","仙游县","Xianyou County","201303","2013","3","0.172364872559128","17.2364872559128"
"福建省2013","福建省","350402","梅列区","Melie district","201303","2013","3","0.247158966890948","24.7158966890948"
"福建省2013","福建省","350403","三元区","Sanyuan District","201303","2013","3","0.224126993125419","22.4126993125419"
"福建省2013","福建省","350421","明溪县","Mingxi County","201303","2013","3","0.227401832450125","22.7401832450125"
"福建省2013","福建省","350423","清流县","Qingliu County","201303","2013","3","0.242294058261598","24.2294058261598"
"福建省2013","福建省","350424","宁化县","Ninghua County","201303","2013","3","0.22927242676233","22.927242676233"
"福建省2013","福建省","350425","大田县","Datian County","201303","2013","3","0.186806968975927","18.6806968975927"
"福建省2013","福建省","350426","尤溪县","Youxi County","201303","2013","3","0.186806968975927","18.6806968975927"
"福建省2013","福建省","350427","沙县","Sha County","201303","2013","3","0.182772562182486","18.2772562182486"
"福建省2013","福建省","350428","将乐县","Jiangle County","201303","2013","3","0.182930138623981","18.2930138623981"
"福建省2013","福建省","350429","泰宁县","Taining County","201303","2013","3","0.230754902442071","23.0754902442071"
"福建省2013","福建省","350430","建宁县","Jianning County","201303","2013","3","0.249873688968769","24.9873688968769"
"福建省2013","福建省","350481","永安市","Yong'an City","201303","2013","3","0.186917019134859","18.6917019134859"
"福建省2013","福建省","350502","鲤城区","Licheng District","201303","2013","3","0.200024207838514","20.0024207838514"
"福建省2013","福建省","350503","丰泽区","Fengze District","201303","2013","3","0.196665330493836","19.6665330493836"
