"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","resident_population_10k","urban_population_10k","rural_population_10k","fixed_asset_investment_100m_yuan","real_estate_development_100m_yuan","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","retail_sales_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_growth_pct","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_growth_pct","per_capita_gdp_yuan","urbanization_rate_pct","co2_ton_per_10000_yuan","secondary_industry_share","tertiary_industry_share","industry_share","budget_revenue_gdp_ratio","budget_expenditure_gdp_ratio","co2_per_capita_ton","retail_per_capita_yuan"
"2019","350103","台江区","3.47890971334518","538.6",,"87.55","451.05","5.82","81.96","48","48",,,,"170946","47451","34437",,"211978","29419","61532","5280","3865","2369600",,,"5","2.2","8.2","12.1","112208.333333333","100","0.645917139499662","0.162551058299294","0.837448941700705","0.0108057927961381","0.0317389528406981","0.0393572224285184","7.24772856946912","493666666.666667"
"2020","350103","台江区","3.48943438070958","600.81",,"88.03","512.78","3.56","84.63","41.2","41.2",,,,"161929","44443","29005",,"224692","32542","63206","5773","5600","2453216",,,"3.9","18.8","-12","3.5","145827.669902913","100","0.580788332536006","0.1465188661973","0.8534811338027","0.00592533413225479","0.0269517817612889","0.0373981791248481","8.46950092405238","595440776.699029"
"2021","350103","台江区","3.82005634668623","659.25",,"101.56","557.69",,"101.56","41.3","41.3","0","127.3","79.42","176213","43867","23633","0","222283","32144","63167","3440","1698","287.36","-28.4","-36.9",,,,"17","159624.697336562","100","0.579454887627794","0.154053849070914","0.845946150929086","0","0.0267293136139553","0.0337175578308684","9.2495311057778","69578.6924939467"
"2013","350104","仓山区","2.82930962094996","356.6","2.78","203.97","187.27","16.7","149.85","79","79",,"374.93","86.71",,,,,,,,,,"2865826","13.2","-23.2",,,,"17.2","45139.2405063291","100","0.793412681141324","0.571985417835109","0.525154234436343","0.0468311833987661",,,"3.58140458348096","362762784.810127"
"2014","350104","仓山区","3.01364690465489","396.04","2.66","225.45","167.94","207.6","18.88","79.7","79.7",,"428.81","105.48",,,,,,,,,,"3314564","14.4","21.6",,,,"15.7","49691.3425345044","100","0.760945082480277","0.569260680739319","0.424048075951924","0.524189475810524",,,"3.78123827434742","415880050.188206"
"2015","350104","仓山区","3.06727573394234","435.02","2.48","239.39","193.15","220.23","20.28","80.3","80.3",,"493.67","163.61","281609","27763","69025","50145","267565","23819","74675","4155","8806","3803585","15.1","55.1","198.68","120.6","78.08","14","54174.3462017435","100","0.705088440518215","0.550296538090203","0.444002574594272","0.506252586087996","0.0647347248402372","0.0615063675233323","3.81977052794812","473671855.541719"
"2016","350104","仓山区","2.92241543061197","478.46","2.62","253.37","222.47","232.7","21.9","81.4","81.4",,"558.34","162.66","306232","55781","28990","60152","325687","30115","81328","5403","27251","4274584","13.1","-0.6",,,,"12","58778.8697788698","100","0.610796185806958","0.529553149688584","0.464970948459641","0.486352046148058","0.0640036784684195","0.0680698490991933","3.59019094669775","525133169.53317"
"2017","350104","仓山区","2.99080286383854","559.35","1.22","289.92","268.21","266.78","24.54","82.5","82.5",,"658.41","311.11","324859","73116","161","48660","368621","35496","88092","23820","6974","5079496","17.9","91.3","6.8","8.5","4.4","16.1","67800","100","0.534692565270142","0.518315902386699","0.479502994547242","0.476946455707518","0.0580779476177706","0.0659016715830875","3.62521559253156","615696484.848485"
"2018","350104","仓山区","2.83442962389253","623.06","1.33","308.84","312.89","282.24","28.08","83.6","83.6",,,,"283230","83623","29","41313","376957","44030","99986","16615","7806","5746899",,,"8.5","5.4","12.8","12.5","74528.7081339713","100","0.454920814029553","0.495682598786634","0.502182775334639","0.452990081212082","0.045457901325715","0.0605009148396623","3.39046605728772","687428110.047847"
"2019","350104","仓山区","3.12793378425936","824.87","1.65","333.79","489.43","272.94","62.37","85.8","85.8",,,,"285059","88610","43202",,"409674","61152","112591","11219","10008","4894360",,,"8.7","10.6","6.2","11","96138.6946386947","100","0.379203242239306","0.404657703638149","0.593341981160668","0.330888503642998","0.0345580515717628","0.0496652805896687","3.64561047116476","570438228.438228"
"2020","350104","仓山区","3.00736188191687","902.27","1.76","344.79","555.73","278.83","67.69","115","115",,,,"271630","86350","34905",,"361315","53462","100875","10162","11497","4887906",,,"5.3","9.8","3.3",,"78458.2608695652","100","0.333310636718152","0.382136167665998","0.615924279871879","0.309031664579339","0.0301051791592317","0.0400451084486905","2.61509728862337","425035304.347826"
"2021","350104","仓山区","3.23467648824009","1030.11","1.81","419.27","609.02","323.77","97.17","116.9","116.9","0","743.52","549.38","273930","90329","39019","0","350544","47199","108624","10306","7291","548.19","12.7","26.5","9.6","9.1","10.8","9.9","88118.9050470488","100","0.314012725654551","0.407014784828805","0.591218413567483","0.314306239139509","0.0265923056760928","0.0340297638116318","2.76704575555183","46893.9264328486"
"2013","350105","马尾区","2.82169023763971","338.96","5.63","229.15","212.15","17","104.18","24.6","17.3","7.26","145.24","101.76",,,,,,,,,,"1022089","50.1","21",,,,"26","137788.617886179","70.3252032520325","0.832455227059154","0.676038470616002","0.625885060184093","0.0501534104319094",,,"11.4702855188606","415483333.333333"
"2014","350105","马尾区","3.04455683817748","373.92","5.61","252.78","115.52","234.23","19.19","24.8","17.51","7.29","216.97","151.42",,,,,,,,,,"1339637","49.4","48.8",,,,"27.1","150774.193548387","70.6048387096774","0.814226796688457","0.676026957637997","0.308943089430894","0.626417415489944",,,"12.2764388636189","540176209.677419"
"2015","350105","马尾区","2.84461360651847","392.4","5.32","249.08","138","229.13","20.59","25.1","18.09","7.01","273.8","185.64","182892","32723","22386","48162","377285","39482","61797","15064","20642","1711580","26.2","22.6","236.14","99.99","136.15","24","156334.661354582","72.0717131474103","0.724927014912964","0.634760448521916","0.351681957186544","0.583919469928644","0.0466085626911315","0.0961480632008155","11.3331219383206","681904382.470119"
"2016","350105","马尾区","2.25369335122883","426.1","6.12","264.55","155.43","243.04","22.22","25.5","18.61","6.89","309.74","155.68","214610","43093","11723","44642","347846","43392","66000","10625","24354","1600050","13.1","-16.1",,,,"16.5","167098.039215686","72.9803921568627","0.528911840232065","0.620863647031213","0.364773527341","0.570382539310021","0.0503661112414926","0.0816348275052804","8.83801314207384","627470588.235294"
"2017","350105","马尾区","2.57728196624197","491.38","4.05","286.35","200.98","262.25","24.9","25.9","19.37","6.53","353.76","177.25","239417","56170","5","35198","427875","41348","72496","11528","26871","1846096","14.2","13.9","8","8.5","7.6","14.6","189722.007722008","74.7876447876448","0.524498751728188","0.582746550531157","0.409011355773536","0.533701005331922","0.0487233912654158","0.0870761935772722","9.95089562255587","712778378.378378"
"2018","350105","马尾区","2.58730604637395","536.96","4.35","311.99","220.63","278.31","34.3","26.2","20.38","5.82",,,"240286","63738","-5","34297","458225","43240","63668","16917","15947","8893508",,,"8.9","10.8","7.1","12.8","204946.564885496","77.7862595419847","0.481843348922443","0.581030244338498","0.410887216924911","0.518306764004767","0.0447493295589988","0.0853368966030989","9.87521391745782","3394468702.29008"
