"year","unit_id","county_cn","co2_million_tons","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","resident_population_10k","urban_population_10k","rural_population_10k","fixed_asset_investment_100m_yuan","real_estate_development_100m_yuan","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","retail_sales_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_growth_pct","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_growth_pct","per_capita_gdp_yuan","urbanization_rate_pct","co2_ton_per_10000_yuan","secondary_industry_share","tertiary_industry_share","industry_share","budget_revenue_gdp_ratio","budget_expenditure_gdp_ratio","co2_per_capita_ton","retail_per_capita_yuan"
"2018","350182","长乐市","3.2730987691807","811.79","53.81","501.53","256.45","465.88","35.77","73.9","39.61","34.29",,,"473603","149936","444","54024","617038","44491","136692","6103","53010","2323210",,,"8.9","7.3","16.1","10","109849.797023004","53.5994587280108","0.403195256061383","0.617807561068749","0.31590682319319","0.573892262777319","0.0583405806920509","0.0760095591224332","4.42909170389811","314372124.492557"
"2019","350182","长乐市","3.47357201275547","951.52","58.44","605.93","287.15","560.91","45.19","75","40.5","34.5",,,"494172","168427","36971","41065","649809","54803","140277","12632","50764","1600436",,,"8.9","7.2","16.6","5.1","126869.333333333","54","0.36505507112362","0.636802169160921","0.301780309399697","0.58948839751135","0.0519350092483605","0.0682916806793341","4.63142935034063","213391466.666667"
"2020","350182","长乐市","3.4859164657976","1003.41","57.76","651.97","293.69","607.46","44.72","79.3","47.59","31.71",,,"511680","175792","45054","44882","783332","60932","148427","24794","64100","1585609",,,"8.3","11.1","7.5","-0.9","126533.41740227","60.0126103404792","0.347406988748129","0.649754337708414","0.292691920550921","0.605395601000588","0.0509941100846115","0.0780669915587845","4.39585935157327","199950693.568726"
"2021","350182","长乐市","3.830556786275","1143.9","70.41","690.31","383.18","636.09","54.39","81","51","30","793.67","224.87","623831","262029","45680","36899","833458","59221","159764","31677","58289","198","24.1","72","8.8","3.3","26.5","24.9","141222.222222222","62.962962962963","0.334868151610718","0.603470583092928","0.334976833639304","0.556071334906897","0.0545354489028761","0.0728610892560538","4.72908245219136","24444.4444444444"
"2013","350203","思明区","2.47000090071573","902.07","0.51","149.55","78.1","71.45","752.01","97","97",,"206.22","101.27",,,,,,,,,,"4063314","2.6","-7.1",,,,"4.1","92996.9072164948","100","0.273814770551701","0.16578536033789","0.0865786468899309","0.0792067134479586",,,"2.54639268115024","418898350.515464"
"2014","350203","思明区","2.55906002599339","979.88","0.3","155.77","823.81","85.98","69.8","98.3","98.3",,"234.28","105.8",,,,,,,,,,"4182807","13.6","4.5",,,,"3.1","99682.6042726348","100","0.261160552924173","0.158968445115728","0.84072539494632","0.0877454382169245",,,"2.60331640487629","425514445.574771"
"2015","350203","思明区","2.21537080184094","1057.66","1.4","147.44","908.83","79.7","67.73","99.1","99.1",,"236.24","111.59","515038","62506","112774","93804","576191","41349","183813","19671","803","4439371","2","8.2","79.67","23.25","56.43","6.2","106726.538849647","100","0.209459637486616","0.139402076281603","0.859283701756708","0.0753550290263412","0.0486959892593083","0.054477904052342","2.23549021376482","447968819.374369"
"2016","350203","思明区","2.77112438224398","1174.35","1.51","147.22","1025.62","78.76","68.46","99.9","99.9",,"274.3","141.81","512000","110974","54214","94742","654540","47292","197075","20950","785","4864002","16.1","27.1",,,,"11.1","117552.552552553","100","0.235970910056114","0.125362966747562","0.873351215566058","0.0670668880657385","0.0435985864520799","0.0557363647975476","2.7738982805245","486887087.087087"
"2017","350203","思明区","2.57547336239587","1323.1","1.74","159.08","1162.28","83.01","76.07","100.7","100.7",,"294.4","209.54","529680","143919","500","95728","842450","51011","199763","20793","800","5298558","7.3","47.8","8.6","7","9","8.3","131390.268123138","100","0.194654475277445","0.120232786637442","0.878452120021162","0.0627390219938024","0.0400332552339203","0.0636724359458847","2.55757036980722","526172591.857001"
"2018","350203","思明区","2.70369478795217","1449.93","2.35","159.21","1288.36","75.37","83.84","101.5","101.5",,,,"557177","162445","282","97335","886380","62096","205621","19279","918","5794274",,,"8","1.9","9.6","10.8","142850.246305419","100","0.186470711548293","0.109805300945563","0.88856703427062","0.0519818198119909","0.0384278551378342","0.0611326064016884","2.66373870734204","570864433.497537"
"2019","350203","思明区","2.87827959579385","1896.46","2.69","313.5","1580.27","82.01","231.49","102.3","102.3",,,,"586246","154760","99934","124777","1003757","78536","229409","38100","1378","8179500",,,"5.1","-0.4","6.2","13.5","185382.209188661","100","0.151771173438609","0.165307994895753","0.833273572867342","0.0432437277875621","0.0309126477753288","0.0529279288780148","2.81356754232048","799560117.302053"
"2020","350203","思明区","2.95181496117325","2053.04","2.99","327.15","1722.9","82.03","245.36","107.4","107.4",,,,"630119","154722","102555","147391","1097800","82492","256170","39035","1103","8236833",,,"4.4","-9.6","7.6","0.7","191158.286778398","100","0.14377776181532","0.159349062853135","0.839194560261856","0.0399553832365663","0.0306919982075361","0.0534719245606515","2.74843106254493","766930446.927374"
"2021","350203","思明区","3.31841124728264","2258.08","3.27","373.73","1881.08","96.52","277.44","106.2","106.2","0","245","137.61","732267","221827","100979","105920","1093038","81601","277911","39716","745","1007.07","2.7","15.2","17.9","-16.6","24.2","22.3","212625.235404896","100","0.146957204673113","0.165507865088925","0.833044001983986","0.0427442783249486","0.0324287447743215","0.048405636647063","3.12468102380663","94827.6836158192"
"2013","350205","海沧区","2.31835225450631","424.46","1.68","294.45","276.88","17.57","128.33","31.2","28.3","2.9","240.8","170.69",,,,,,,,,,"916538","13.8","25.9",,,,"24","136044.871794872","90.7051282051282","0.546188628965347","0.693704942750789","0.65231117184187","0.0413937709089196",,,"7.43061620034074","293762179.48718"
"2014","350205","海沧区","2.50068778207674","483.45","1.36","311.19","170.9","293.1","18.08","32.5","29.54","2.96","293.42","150.5",,,,,,,,,,"1146918","21.8","-11.8",,,,"21.5","148753.846153846","90.8923076923077","0.51725882347228","0.643686006825939","0.353500879098149","0.606267452683835",,,"7.69442394485151","352897846.153846"
"2015","350205","海沧区","2.46033452238019","511.71","1.44","325.54","184.73","294.72","30.82","33.2","30.2","3","369.5","235.4","289028","32821","50617","40376","536923","32940","123390","16089","15929","1415605","25.8","56.1","272.98","151.16","121.81","15.8","154129.518072289","90.9638554216867","0.480806418162668","0.636180649195834","0.361005256883782","0.575951222372047","0.0564827734458971","0.104927204862129","7.41064615174756","426387048.192771"
"2016","350205","海沧区","2.53106297687219","530.04","1.04","313.62","215.37","274.67","38.96","34.16","31.09","3.07","430.22","283.36","342008","75610","24699","43932","526830","42217","121700","15014","13053","1531147","16.4","20.4",,,,"6.2","155163.93442623","91.0128805620609","0.477523012767374","0.591691193117501","0.406327824315146","0.51820617311901","0.064524941513848","0.0993943853294091","7.40943494400524","448228044.496487"
"2017","350205","海沧区","2.57503101998575","602.28","1.95","358.3","242.03","314.79","43.51","35.6","32.43","3.17","431.45","275.25","388345","89591","69","59512","679123","54384","154168","20052","17449","1492508","0.3","-2.9","5.2","7.9","2.3","-5.2","169179.775280899","91.0955056179775","0.427547157465921","0.594906023776317","0.401856279471342","0.522663877266388","0.0644791459122003","0.112758683668726","7.23323320220716","419243820.224719"
"2018","350205","海沧区","2.59400482270452","676.11","1.6","412.35","262.16","361.69","50.66","37.5","34.16","3.34",,,"391030","92996","144","63884","780596","66612","186908","20529","19842","1498523",,,"8.9","9","8.7","0.6","180296","91.0933333333333","0.383666093195563","0.609885965301504","0.387747555871086","0.534957329428643","0.0578352634926269","0.115453994172546","6.91734619387872","399606133.333333"
"2019","350205","海沧区","2.76893037998059","796.87","1.64","480.7","314.53","400.77","79.93","41.6","37.9","3.7",,,"398351","83419","45082","13041","809526","66942","189620","20951","24553","2940909",,,"8.5","8.5","8.5","10.1","191555.288461538","91.1057692307692","0.347475796551582","0.60323515755393","0.394706790317116","0.502930214464091","0.0499894587573883","0.101588213886832","6.65608264418411","706949278.846154"
"2020","350205","海沧区","2.75227442385922","815.75","1.75","458.59","355.41","403.08","55.83","58.6","57.25","1.35",,,"339814","89287","49484","13092","722945","73498","175625","21120","21722","2892921",,,"8.4","13.2","1.3","-1.6","139206.484641638","97.6962457337884","0.337391899952096","0.562169782408826","0.435684952497702","0.494121973643886","0.0416566349984677","0.0886233527428747","4.69671403388945","493672525.59727"
"2021","350205","海沧区","3.03188132434043","938.24","1.64","565.1","371.5","504.92","60.5","61.5","60.1","1.4","425.26","147.09","401350","100239","96783","19137","708629","87098","196844","24793","16800","300.97","15.2","1.7","23.7","32.1","10.7","4","152559.349593496","97.7235772357724","0.323145604998767","0.602297919508868","0.395954126875853","0.538156548431105","0.0427769014324693","0.0755274769781719","4.92988833226086","48938.2113821138"
"2013","350206","湖里区","2.44479433449028","732.16",,"382.51","341","41.51","349.65","98.9","98.9",,"239.35","154.08",,,,,,,,,,"2857344","-10.6","14.8",,,,"15.8","74030.3336703741","100","0.333915310108484","0.522440450174825","0.465745192307692","0.0566952578671329",,,"2.47198618249775","288912436.804853"
"2014","350206","湖里区","2.6408756845113","753.75","1.09","341.51","411.15","316.98","41.83","100.6","100.6",,"320.5","197.36",,,,,,,,,,"3245081","33.9","28.1",,,,"13.5","74925.4473161034","100","0.350364933268498","0.453081260364842","0.54547263681592","0.420537313432836",,,"2.62512493490189","322572664.015905"
"2015","350206","湖里区","2.58340440102715","774.12","0.2","358.68","415.24","329.64","44.42","101.5","101.5",,"315.35","207.19","423331","50963","95063","69126","363844","41124","107938","3518","4140","3505362","-2","4.4","307.33","67","240.33","5.2","76267.9802955665","100","0.333721438669347","0.463339017206635","0.536402624916034","0.425825453418075","0.0546854492843487","0.0470009817599339","2.54522601086419","345355862.068965"
"2016","350206","湖里区","2.43874788772791","819.73",,"343.66","476.07","319.17","42.19","102.4","102.4",,"366.97","280.92","392347","94431","42540","98731","415663","51382","115838","4282","2586","3644909","16.4","35.6",,,,"5","80051.7578125","100","0.297506238362377","0.419235601966501","0.580764398033499","0.38935991119027","0.0478629548753858","0.0507073060641919","2.38158973410929","355948144.53125"
"2017","350206","湖里区","2.83522271079521","956.25",,"408.56","547.7","378.19","50.61","103.3","103.3",,"359.43","308.18","438218","123275","81","102466","655546","60193","121044","5649","3394","3644176","-2.1","9.7","8.3","2.8","9.5","-0.4","92570.1839303001","100","0.296493878253094","0.427252287581699","0.572758169934641","0.395492810457516","0.0458267189542484","0.0685538300653595","2.74464928440969","352775992.255566"
"2018","350206","湖里区","2.99162050103386","1035.84",,"452.9","582.94","407.91","59.4","103.1","103.1",,,,"474773","126475","95","80779","632292","68534","129171","8484","3883","3332780",,,"10","-3.4","11.8","-4.8","100469.4471387","100","0.288811061653717","0.4372296879827","0.5627703120173","0.393796339202966","0.0458345883534137","0.0610414735866543","2.901668769189","323257032.007759"
"2019","350206","湖里区","3.0712901932549","1297.29",,"549.52","747.77","419.19","159.27","102.6","102.6",,,,"495977","119230","93677","89901","584885","72660","137383","8830","3960","4720654",,,"10.5","3.6","11.4","14","126441.520467836","100","0.236746617429788","0.423590716031111","0.576409283968889","0.323127442591865","0.0382317754704037","0.0450851390205737","2.99346022734396","460102729.044834"
"2020","350206","湖里区","2.99502338222204","1395.75",,"545.65","850.09","398.96","173.23","103.9","103.9",,,,"510503","138851","72859","143288","891574","70971","146787","4388","5551","4729376",,,"1.3","-11.6","3","0.2","134335.899903754","100","0.214581650168156","0.390936772344618","0.60905606304854","0.285839154576393","0.0365755328676339","0.0638777718072721","2.88260190781717","455185370.548604"
"2021","350206","湖里区","3.4449274270149","1539.41",,"621.14","918.27","438.92","206.11","102.5","102.5","0","507.34","276.81","555552","154837","92411","97229","812780","74573","161028","5499","3519","526.35","13.7","-4.3","6.1","5.6","6.2","11.3","150186.341463415","100","0.2237823209551","0.403492247029706","0.596507752970294","0.285122222150045","0.0360886313587673","0.0527981499405616","3.3609048068438","51351.2195121951"
"2013","350211","集美区","2.32954887730489","402.17","2.72","234.84","193.72","41.12","164.61","61.7","53.1","8.6","279.57","125.29",,,,,,,,,,"902855","2.3","-12.5",,,,"19.7","65181.5235008104","86.0615883306321","0.579244816198346","0.583932167988662","0.481686848845016","0.102245319143646",,,"3.77560595997551","146329821.71799"
"2014","350211","集美区","2.50051113657188","458.31","2.33","247.72","208.26","206.17","41.54","63.3","54.69","8.61","299.21","146.52",,,,,,,,,,"1075860","7","16.9",,,,"19.4","72402.8436018957","86.3981042654028","0.545593841847631","0.540507516746307","0.454408588073575","0.449848355916301",,,"3.95025456014515","169962085.308057"
"2015","350211","集美区","2.45902542610341","494.11","2.26","251.43","240.42","206.74","44.68","64.4","55.81","8.59","383.25","170.91","284327","21061","79813","46343","532335","30828","155633","17245","54246","1153204","28","16.6","188.82","63.89","124.93","17.5","76725.1552795031","86.6614906832298","0.497667609662506","0.508854303697557","0.48657181599239","0.418408856327538","0.0575432595980652","0.107736131630609","3.81836246289349","179068944.099379"
"2016","350211","集美区","2.63168940337386","547.5","1.81","262.74","282.95","217.11","45.64","65.6","57.07","8.53","377.92","178.01","308165","54976","32010","45731","544084","40102","153133","22003","33745","1241131","-1.4","4.2",,,,"12","83460.3658536586","86.9969512195122","0.480673863629929","0.479890410958904","0.516803652968037","0.396547945205479","0.0562858447488584","0.0993760730593607","4.01172165148454","189196798.780488"
"2017","350211","集美区","2.67725532796966","618.51","2.34","299.41","316.76","250.05","49.36","67.4","58.84","8.56","375.53","206.93","312708","76991","38","58491","564315","44840","159549","21457","41211","1293929","-0.6","16.2","9.3","3.6","11.9","13.2","91767.0623145401","87.299703264095","0.432855625288138","0.484082714911643","0.512133999450292","0.404278022990736","0.0505582771499248","0.0912378134549158","3.97218891390157","191977596.439169"
"2018","350211","集美区","2.71048701988431","686.22","2.77","324.25","359.19","268.64","55.62","70","61.25","8.75",,,"345825","70597","-20","61306","582867","47873","171223","24244","40746","1573433",,,"8.1","11.6","5.9","13.5","98031.4285714286","87.5","0.394988053377096","0.472516102707586","0.523432718370202","0.391477951677305","0.0503956457112879","0.0849387951385853","3.87212431412044","224776142.857143"
"2019","350211","集美区","2.87988432760071","789.37","2.99","386.31","400.06","320.91","65.41","74.8","65.82","8.98",,,"378859","77117","42024","21779","679858","54656","183657","26317","45668","1901865",,,"6.8","0.3","10.9","12.1","105530.748663102","87.9946524064171","0.364833262931288","0.489390273255888","0.506809227611893","0.406539392173505","0.0479951100244499","0.0861266579677464","3.8501127374341","254260026.737968"
"2020","350211","集美区","3.21209495096045","822.41","3.08","400.1","419.23","321.81","78.96","104","93.95","10.05",,,"401568","79993","41989","27930","782300","55530","213221","27547","53317","1928215",,,"6.9","2.1","9.9","1.4","79077.8846153846","90.3365384615385","0.390570998767093","0.486497002711543","0.50975790664024","0.391301175812551","0.0488282000462057","0.0951228705876631","3.08855283746197","185405288.461538"
"2021","350211","集美区","3.35407000403269","876","3.35","448.41","424.24","368.17","80.88","107.8","97.4","10.4","399.37","142.07","475255","87298","43593","18514","846537","65967","256047","27892","53466","225.02","4.3","-28.7","14.2","18.5","11.4","16.7","81261.5955473098","90.3525046382189","0.3828847036567","0.511883561643836","0.484292237442922","0.420285388127854","0.0542528538812785","0.0966366438356164","3.11138219298023","20873.840445269"
"2013","350212","同安区","2.33115200994622","225.85","12.15","122.68","105.18","17.5","91.02","52.3","35.7","16.6","159.92","100.56",,,,,,,,,,"624863","-4.7","-16",,,,"8.3","43183.5564053537","68.2600382409178","1.03216825766935","0.54319238432588","0.465707327872482","0.0774850564533983",,,"4.45726961748799","119476673.040153"
"2014","350212","同安区","2.57270594554381","242.77","10.62","134.16","98","116.43","17.72","53.6","36.77","16.83","161.04","103.58",,,,,,,,,,"670396","0.7","3",,,,"10.2","45292.9104477612","68.6007462686567","1.0597297629624","0.552621823124768","0.403674259587264","0.479589735140256",,,"4.7998245252683","125073880.597015"
"2015","350212","同安区","2.64332318300306","250.89","10.1","137.91","102.88","118.35","19.56","54.4","37.51","16.89","226.92","143.41","140486","18926","29804","14804","361821","23540","96256","4868","28319","770075","40.3","37.5","117.54","76.19","41.34","20.3","46119.4852941176","68.9522058823529","1.05357853362153","0.549683128064092","0.41006018573877","0.471720674399139","0.0559950575949619","0.144214994619156","4.85904996875562","141557904.411765"
"2016","350212","同安区","2.97325337344861","328.84","9.96","197.98","120.9","175.59","22.39","55.54","38.6","16.94","271.76","156.33","166384","45514","18221","21347","478504","33684","113962","18493","33214","1015037","19.8","9",,,,"23.1","59207.7781778898","69.4994598487577","0.904164144705209","0.602055710984065","0.367656002919353","0.533967887118356","0.0505972509427077","0.145512711348984","5.35335501161075","182757832.193014"
"2017","350212","同安区","2.76037533214067","399.06","9.78","252.29","136.98","229.5","22.79","58.1","40.96","17.14","334.29","168.71","200286","63757","39","32907","548935","33680","136746","19928","51643","2099352","23","7.9","11","4.2","21.1","109","68685.0258175559","70.4991394148021","0.691719373563041","0.632210695133564","0.343256653134867","0.57510148849797","0.0501894451962111","0.137557008971082","4.75107630316811","361334251.290878"
"2018","350212","同安区","2.76069718200264","422.65","9.61","250.67","162.37","226.27","24.4","61.1","43.62","17.48",,,"230038","78040","141","41789","569154","41948","150746","31499","37726","2455397",,,"8.1","7.6","8.7","12","69173.4860883797","71.3911620294599","0.653187550456084","0.593091210221223","0.384171300130131","0.535360227138294","0.0544275405181592","0.134663196498285","4.51832599345768","401865302.782324"
"2019","350212","同安区","2.89985610557556","551.23","10.46","298.72","242.05","279.72","19","66.3","47.87","18.43",,,"256692","77109","42781","13791","646202","41757","173373","62283","42642","3650540",,,"6","10",,"8.7","83141.7797888386","72.2021116138763","0.526070080651554","0.541915352937975","0.439108901910273","0.507446982203436","0.0465671316873175","0.117229105817898","4.37384027990281","550609351.432881"
"2020","350212","同安区","2.94003357608345","591.21","11.42","309.41","270.38","283.01","26.66","85.9","64.52","21.38",,,"262568","78243","30325","34243","717475","46759","201438","55112","40273","3946416",,,"8.5","12.4","2.5","8.1","68825.378346915","75.1105937136205","0.497290907813374","0.523350416941527","0.457333265675479","0.478696233148966","0.0444119686744135","0.121357047411241","3.42262348787363","459419790.454016"
"2021","350212","同安区","3.22381098658049","640.36","11.11","340.62","288.64","308.44","32.41","89","66.8","22.2","348.45","137.91","306625","81025","44887","16356","832287","54598","222144","9228","43103","394.84","13.2","7.1","4.7","-3.1","17.8","0.1","71950.5617977528","75.0561797752809","0.503437283181412","0.531919545255794","0.450746455118996","0.481666562558561","0.0478832219376601","0.12997173464926","3.6222595354837","44364.0449438202"
"2013","350213","翔安区","2.26698674277924","331.46","8.93","250.76","217.29","33.47","71.77","31.9","18","13.9","211.41","153.56",,,,,,,,,,"380150","4.9","-5.4",,,,"-0.6","103905.956112853","56.4263322884013","0.68393976430919","0.756531708200085","0.655554214686538","0.100977493513546",,,"7.10654151341455","119169278.996865"
"2014","350213","翔安区","2.52657677742921","355.42","8.03","269.99","77.4","232.17","37.82","32.7","18.54","14.16","253.71","154.33",,,,,,,,,,"401771","20","0.5",,,,"8.2","108691.131498471","56.697247706422","0.710870738120874","0.759636486410444","0.217770525012661","0.653227167857746",,,"7.7265344875511","122865749.235474"
"2015","350213","翔安区","2.5164999528574","377.54","8.53","290.28","78.72","258.29","32","33.4","18.99","14.41","356.39","245.08","144102","12496","34091","16184","334377","20383","93325","3900","27875","400611","40.3","58.4","253.36","87.16","166.2","6.5","113035.928143713","56.8562874251497","0.666551876054829","0.768872172485035","0.208507707792552","0.684139428934682","0.0381686708693119","0.088567304126715","7.53443099657904","119943413.173653"
"2016","350213","翔安区","2.44074677140953","383.82","8.86","279.37","95.59","242.19","37.18","34.4","19.84","14.56","438.64","353.58","159048","28727","17579","22745","347797","27785","101090","4109","27277","538369","23.1","44.3",,,,"17.4","111575.581395349","57.6744186046512","0.635909220835165","0.727867229430462","0.249049033401073","0.630998905737064","0.0414381741441301","0.0906146110155802","7.09519410293468","156502616.27907"
"2017","350213","翔安区","2.50926137144516","452.52","7.65","334.6","110.27","291.8","42.8","35.9","21.07","14.83","586.36","332.99","179797","43919","96","20910","392714","44054","96885","4374","27618","638925","33.7","-5.8","8.2","5.2","9.3","13.6","126050.139275766","58.6908077994429","0.554508391108716","0.739414832493592","0.243679837355255","0.644833377530275","0.0397323875187837","0.0867837885618315","6.98958599288345","177973537.604457"
"2018","350213","翔安区","2.58531754830626","520.66","8.07","380.77","131.83","332.36","48.41","37.8","22.57","15.23",,,"197939","54790","42","21797","417449","51144","118387","4264","23361","769816",,,"8.4","7.5","8.6","15.1","137740.740740741","59.7089947089947","0.49654621985677","0.731321783889679","0.253197864249222","0.638343640763646","0.0380169400376445","0.0801768908692813","6.83946441350862","203655026.455026"
"2019","350213","翔安区","2.76390345042812","663.83","8.71","465.23","189.89","406.34","58.89","41.4","26.16","15.24",,,"208952","50634","29224","6284","519428","59250","139766","5619","20365","1185697",,,"10.4","11.5","10.2","12.5","160345.410628019","63.1884057971015","0.416357117097468","0.700827018965699","0.286052151906362","0.612114547399183","0.031476733501047","0.0782471415874546","6.67609529088918","286400241.545894"
"2020","350213","翔安区","2.79592376379235","705.87","9.66","478.93","217.27","403.28","75.87","58.2","36.04","22.16",,,"224646","50611","26640","29311","498259","61222","143449","5178","25692","1204941",,,"6.9","24.4","3.3","1.6","121283.505154639","61.9243986254295","0.396096131552885","0.678496040347373","0.307804553246348","0.571323331491634","0.0318254069446215","0.0705879269553884","4.8039927212927","207034536.082474"
"2021","350213","翔安区","3.10897457571129","781.79","9.69","533.89","238.21","445.86","88.23","61","43","18","771.01","228.16","266146","59824","34230","15785","590780","71277","175530","2006","17127","129.82","13.7","30.8","6.2","-2","8.2","7.7","128162.295081967","70.4918032786885","0.397673873509675","0.682907174560944","0.304698192609269","0.570306604075263","0.0340431573696261","0.0755676076695788","5.09667963231359","21281.9672131148"
"2013","350302","城厢区","2.09200628454634","233.39","12.15","102.3","70.32","31.98","118.94","42.3","28.4","13.9","160.24","74.54",,,,,,,,,,"1224433","24.9","59.8",,,,"14.2","55174.9408983452","67.1394799054374","0.896356435385552","0.438322121770427","0.301298256137795","0.137023865632632",,,"4.94564133462492","289464066.193853"
"2014","350302","城厢区","2.27678448485335","260.54","11.45","115.06","134.03","79.55","36.83","42.6","28.68","13.92","186.89","86.29",,,,,,,,,,"1475816","16.6","15.8",,,,"19","61159.6244131455","67.3239436619718","0.873871376699681","0.441621248176863","0.514431565210716","0.305327396944807",,,"5.34456451843509","346435680.751174"
"2015","350302","城厢区","2.59604676747138","284.69","10.71","123.8","150.18","86.85","38.37","42.9","29.5","13.4","227.36","90.84","210148","15417","52212","18169","218691","17325","62533","3853","19317","1673641","21.7","5.3","88.14","71.06","17.08","12.7","66361.3053613054","68.7645687645688","0.911885478053806","0.434858969405318","0.527521163370684","0.305068671186203","0.0738164319083916","0.0768172398046998","6.05139106636685","390126107.226107"
"2016","350302","城厢区","2.76691218643636","318.92","11.73","136.85","170.34","99.09","39.34","43.2","30.24","12.96","211.11","95.34","197029","33842","31983","22945","241753","20083","64890","4392","19319","1926604","-7.1","5",,,,"14.9","73824.0740740741","70","0.867588168329474","0.42910447761194","0.534115138592751","0.310704878966512","0.06178007023705","0.0758036498181362","6.40488932045454","445973148.148148"
"2017","350302","城厢区","2.82992020217739","356.36","8.46","146.38","201.52","101.69","45.66","43.3","30.53","12.77","250.56","146.03","212700","49363","1182","27370","248452","19414","64157","3330","25836","2145575","18.7","53.2","8.3","9.4","3.3","13","82300.2309468822","70.5080831408776","0.794118364063697","0.410764395555057","0.565495566281289","0.285357503647996","0.0596868335391177","0.0697193848916826","6.53561247616025","495513856.812933"
"2018","350302","城厢区","2.97242349462468","397.3","8.25","153.68","235.37","101.6","52.71","43.3","30.66","12.64",,,"231741","59796","174","27636","256526","21669","76888","3401","20212","2378479",,,"9.1","8.3","11.5","10.9","91755.1963048499","70.8083140877598","0.748155926157735","0.386810974075006","0.59242386106217","0.255726151522779","0.0583289705512207","0.0645673294739492","6.86471938712397","549302309.468822"
"2019","350302","城厢区","3.15107154618278","475.64","9.86","180.92","284.85","114.5","66.7","43.4","30.81","12.59",,,"243619","55021","29630","4322","272430","21457","78980","3410","21323","5184315",,,"9.9","9.2","12.1","15.5","109594.470046083","70.9907834101382","0.662490864137327","0.380371709696409","0.598877302161299","0.240728281893869","0.0512191993945","0.0572765116474645","7.26053351655018","1194542626.72811"
"2020","350302","城厢区","3.30467836482739","485.85","11.16","170.7","303.99","113.76","57.22","54.7","39.35","15.35",,,"250154","57406","18777","4497","287440","25649","84470","4702","22730","5451448",,,"3.6","4.8","0.2","5.2","88820.8409506399","71.9378427787934","0.680184905799607","0.351343007100957","0.625686940413708","0.234146341463415","0.0514879077904703","0.0591622928887517","6.04145953350528","996608409.506398"
"2021","350302","城厢区","3.68845560979952","538.76","10.41","200.62","327.72","141.23","59.67","54.9","39.71","15.19","286.48","110.76","251258","68917","21762","3895","318369","34418","97715","1805","20654","627.79","10.2","17.5","9.6","7.8","19.1","15.2","98134.7905282331","72.3315118397086","0.684619424196213","0.3723735986339","0.608285693072982","0.262138985819289","0.0466363501373524","0.0590929170688247","6.7184983785055","114351.548269581"
"2013","350303","涵江区","2.21204027240247","345.24","17.75","247.17","227.28","19.89","80.32","47.8","37.4","10.4","216.15","178.96",,,,,,,,,,"873970","33.1","25.8",,,,"11.7","72225.9414225941","78.2426778242678","0.640725371452459","0.715936739659367","0.658324643726104","0.0576120959332638",,,"4.62769931464952","182838912.133891"
"2014","350303","涵江区","2.30080069802987","368.05","15.36","254.81","97.88","236.08","22.68","48.1","37.63","10.47","272.92","228.44",,,,,,,,,,"942279","26.3","27.6",,,,"9.5","76517.6715176715","78.2328482328482","0.625132644485768","0.692324412443961","0.265942127428339","0.64143458769189",,,"4.78336943457353","195900000"
"2015","350303","涵江区","2.36775106159765","401.72","16.02","276.03","109.66","253.81","26.46","48.4","37.88","10.52","327.48","262.37","203230","27380","39095","25243","262504","21799","69468","8005","19854","978696","20","14.9","247.93","179.35","68.58","10.8","83000","78.2644628099174","0.589403331075787","0.68712038235587","0.272976202329981","0.631808224634073","0.0505899631584188","0.0653450164293538","4.89204764792903","202209917.355372"
"2016","350303","涵江区","2.41491294306241","428.72","17.67","288.7","122.35","265.67","27.26","48.6","38.15","10.45","387.63","325.7","202536","43023","26628","29168","282575","28946","70971","4791","19585","1080797","18.4","24.1",,,,"10.5","88213.9917695473","78.4979423868313","0.563284414784104","0.673399888038813","0.285384400074641","0.619681843627542","0.0472420227654413","0.0659113174099645","4.96895667296792","222386213.99177"
"2017","350303","涵江区","2.44655948673374","477.22","13.35","289.97","173.89","261.56","31.04","48.7","38.28","10.42","485.73","402.15","221174","63213","96","33969","270492","30656","74374","3538","17993","1216156","25.3","23.5","8.2","9.3","5.6","10.3","97991.7864476386","78.6036960985626","0.512669101616391","0.60762331838565","0.364381207828674","0.548091027199195","0.046346339214618","0.0566807761619379","5.02373611238961","249724024.640657"
"2018","350303","涵江区","2.70520734160192","524.54","14.22","330.84","179.48","295.92","36.77","48.7","38.28","10.42",,,"238079","74526","111","36409","290386","34666","79409","3515","21153","1322737",,,"8.8","6.5","14.3","8.8","107708.41889117","78.6036960985626","0.515729466123064","0.630724062988523","0.342166469668662","0.564151446982118","0.0453881496168071","0.0553601250619591","5.55484053717027","271609240.246407"
