"distcode","county_cn","county_en","province_cn","year","month_count","co2_million_tons","co2_10000_tons"
"350124","闽清县","Minqing County","福建省","2018","12","3.22764516549604","322.764516549604"
"350124","闽清县","Minqing County","福建省","2019","12","3.41825457672306","341.825457672306"
"350124","闽清县","Minqing County","福建省","2020","12","3.41908806358694","341.908806358694"
"350124","闽清县","Minqing County","福建省","2021","12","3.74216890848745","374.216890848745"
"350125","永泰县","Yongtai County","福建省","2013","12","2.85606581941934","285.606581941934"
"350125","永泰县","Yongtai County","福建省","2014","12","3.06705223956449","306.705223956449"
"350125","永泰县","Yongtai County","福建省","2015","12","3.06249125050108","306.249125050108"
"350125","永泰县","Yongtai County","福建省","2016","12","2.96689270145522","296.689270145522"
"350125","永泰县","Yongtai County","福建省","2017","12","3.09798292815523","309.798292815523"
"350125","永泰县","Yongtai County","福建省","2018","12","3.17091108709709","317.091108709709"
"350125","永泰县","Yongtai County","福建省","2019","12","2.71529877851357","271.529877851357"
"350125","永泰县","Yongtai County","福建省","2020","12","2.94763974564603","294.763974564603"
"350125","永泰县","Yongtai County","福建省","2021","12","3.13968595637337","313.968595637337"
"350128","平潭县","Pingtan County","福建省","2013","12","2.85486839239822","285.486839239822"
"350128","平潭县","Pingtan County","福建省","2014","12","3.09173096113555","309.173096113555"
"350128","平潭县","Pingtan County","福建省","2015","12","3.10682747827927","310.682747827927"
"350128","平潭县","Pingtan County","福建省","2016","12","3.02277724779182","302.277724779182"
"350128","平潭县","Pingtan County","福建省","2017","12","3.16216704275019","316.216704275019"
"350128","平潭县","Pingtan County","福建省","2018","12","3.21584057018648","321.584057018648"
"350128","平潭县","Pingtan County","福建省","2019","12","3.47897045501529","347.897045501529"
"350128","平潭县","Pingtan County","福建省","2020","12","3.47111136071461","347.111136071461"
"350128","平潭县","Pingtan County","福建省","2021","12","3.72975960581244","372.975960581244"
"350181","福清市","Fuqing City","福建省","2013","12","2.9044546560447","290.44546560447"
"350181","福清市","Fuqing City","福建省","2014","12","3.14158138808532","314.158138808532"
