"year","county_cn","official_area_cn","source_title","source_url","variable_group","gdp_100m_yuan","primary_industry_100m_yuan","secondary_industry_100m_yuan","tertiary_industry_100m_yuan","industry_100m_yuan","construction_100m_yuan","per_capita_gdp_yuan","resident_population_10k","urban_population_10k","rural_population_10k","urbanization_rate_pct","fixed_asset_investment_100m_yuan","fixed_asset_investment_growth_pct","real_estate_development_100m_yuan","real_estate_development_growth_pct","budget_revenue_10k_yuan","vat_10k_yuan","enterprise_income_tax_10k_yuan","individual_income_tax_10k_yuan","budget_expenditure_10k_yuan","general_public_service_exp_10k_yuan","education_exp_10k_yuan","science_technology_exp_10k_yuan","agri_forestry_water_exp_10k_yuan","industrial_va_growth_pct","light_industry_growth_pct","heavy_industry_growth_pct","retail_sales_100m_yuan","retail_sales_growth_pct"
"2020","长乐市","长乐区","21-4 年末常住人口数（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2104.htm","population",,,,,,,,"79.3","47.59","31.71","60",,,,,,,,,,,,,,,,,,
"2020","长乐市","长乐区","21-19 社会消费品零售总额（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2119.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1585609","-0.9"
"2020","长泰县","长泰县","21-10 一般公共预算支出（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2110.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"237296","20956","52672","2822","23976",,,,,
"2020","长泰县","长泰县","21-9 地方一般公共预算收入（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2109.htm","budget_revenue",,,,,,,,,,,,,,,,"112015","49474","10581","2973",,,,,,,,,,
"2020","长泰县","长泰县","21-1 地区生产总值（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2101.htm","gdp","344.54","19.76","225.65","99.13","185.08","40.71","150453",,,,,,,,,,,,,,,,,,,,,,
"2020","长泰县","长泰县","21-14 规模以上工业增加值增速（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2114.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"-13.1","-14.6","-11.8",,
"2020","长泰县","长泰县","21-4 年末常住人口数（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2104.htm","population",,,,,,,,"22.9","13.61","9.29","59.4",,,,,,,,,,,,,,,,,,
"2020","长泰县","长泰县","21-19 社会消费品零售总额（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2119.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"866061","-3.2"
"2020","长汀县","长汀县","21-10 一般公共预算支出（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2110.htm","budget_expenditure",,,,,,,,,,,,,,,,,,,,"391409","25979","89727","17270","80219",,,,,
"2020","长汀县","长汀县","21-9 地方一般公共预算收入（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2109.htm","budget_revenue",,,,,,,,,,,,,,,,"97997","25016","11838","2667",,,,,,,,,,
"2020","长汀县","长汀县","21-1 地区生产总值（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2101.htm","gdp","309.77","41.38","137.15","131.24","93.88","43.27","77929",,,,,,,,,,,,,,,,,,,,,,
"2020","长汀县","长汀县","21-14 规模以上工业增加值增速（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2114.htm","industrial_va_growth",,,,,,,,,,,,,,,,,,,,,,,,,"5.5","7.1","4.2",,
"2020","长汀县","长汀县","21-4 年末常住人口数（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2104.htm","population",,,,,,,,"39.8","21.29","18.51","53.5",,,,,,,,,,,,,,,,,,
"2020","长汀县","长汀县","21-19 社会消费品零售总额（2020年）","http://tjj.fujian.gov.cn/tongjinianjian/dz2021/cn-en/html/2119.htm","retail_sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1541017","-1.7"
