"distcode","county_cn","county_en","city_cn","city_en","province_cn","province_en","co2_mt_1997","co2_mt_1998","co2_mt_1999","co2_mt_2000","co2_mt_2001","co2_mt_2002","co2_mt_2003","co2_mt_2004","co2_mt_2005","co2_mt_2006","co2_mt_2007","co2_mt_2008","co2_mt_2009","co2_mt_2010","co2_mt_2011","co2_mt_2012","co2_mt_2013","co2_mt_2014","co2_mt_2015","co2_mt_2016","co2_mt_2017"
"350102","鼓楼区","Gulou District","福州市","Fuzhou City","福建省","Fujian Province","0.51863865705551","0.480628769413479","0.468895929199509","0.488827553327518","0.464075596634806","0.494650673632581","0.563342211755009","0.612269866383512","0.704279219782432","0.771848421131711","0.78884337298888","0.830268909046074","0.908531489035476","0.996699792726406","1.14037807686399","1.13853915401888","1.15122729375443","1.06979047152468","0.92306757533394","0.913961033076823","0.878861222362786"
"350103","台江区","Taijiang District","福州市","Fuzhou City","福建省","Fujian Province","0.271499478807089","0.251601878533874","0.242218106461645","0.252514208334898","0.239548982027877","0.255204292294759","0.290066667900679","0.315259670395683","0.362635574418525","0.397427167661708","0.406177921561338","0.427508059724916","0.467805707096508","0.513203842603537","0.58718424076976","0.586237373641613","0.592770536500975","0.556318049853889","0.482534903094698","0.478968783622218","0.46068754410581"
"350104","仓山区","Cangshan District","福州市","Fuzhou City","福建省","Fujian Province","1.08206883449309","1.00313049979859","0.992358117790039","1.03929147395723","1.01920985117505","1.1383859579593","1.3502862253939","1.50542955969458","1.73235894523235","1.93249679210324","1.97974998526568","2.1152678092612","2.31465660284075","2.5578495425855","2.95886472700478","2.9540933936615","2.98701448349695","2.83072193748481","2.53902543074188","2.54973470228153","2.4721135090876"
"350105","马尾区","Mawei District","福州市","Fuzhou City","福建省","Fujian Province","0.674099284814321","0.63598352316329","0.707141331551315","0.780564904491087","0.750309474340088","0.800821959178681","0.921273006009682","1.0018961449912","1.15560569445672","1.32456550958743","1.36901357354031","1.46008541382171","1.59771558429488","1.75375591944209","2.03007691924596","2.02736890093426","2.04996236187915","2.02714699633409","1.93524063867097","1.97175687420957","1.95571589233275"
"350111","晋安区","Jin'an District","福州市","Fuzhou City","福建省","Fujian Province","1.64877324587672","1.56204350059381","1.67437793805855","1.75955993217443","1.70954541250381","1.825947932135","2.0994502099285","2.28179261679538","2.62486579553785","2.8954860169777","2.97236809941413","3.16310594310698","3.4612657672196","3.79716379057069","4.39042727058914","4.39833568367005","4.45535828713058","4.22097971821636","3.74611121775881","3.75267988533446","3.70568288414368"
"350121","闽侯县","Minhou County","福州市","Fuzhou City","福建省","Fujian Province","1.55107010492636","1.44856170781562","1.58066885876176","1.67270868733951","1.6573137965479","1.97737160773681","2.5418963285498","2.78045950499","3.19847025695529","3.60656048145299","3.77179208396322","4.15278813250392","4.54491410560717","5.34048880494139","6.2400717916825","6.30579882173695","6.39980577782359","6.56389318473705","6.03570734793279","6.27149258870529","6.17454369774025"
"350122","连江县","Lianjiang County","福州市","Fuzhou City","福建省","Fujian Province","0.937740602150872","0.889648707020404","0.959758575241655","1.08387430089914","1.04960125603435","1.1260750900242","1.33293539721267","1.45798092623416","1.68617670131219","1.89971336438006","1.96799375019879","2.18270395761144","2.38844939889505","2.64202190461406","3.17555355681128","3.32993008906416","3.46712144480189","3.60250354277132","3.4390042715954","3.61620163378151","3.67757243799566"
"350123","罗源县","Luoyuan County","福州市","Fuzhou City","福建省","Fujian Province","0.54994033357982","0.529055759058928","0.628271470547161","0.685674133486319","0.664104196678344","0.721909295714648","0.856347326363799","0.954599590484179","1.11677062570567","1.2718436228981","1.3819454321139","1.51617909073689","1.6590967479853","1.82554999293704","2.15470840305623","2.2422943249418","2.27957873467717","2.57842674393145","2.41145654842314","2.41981657333871","2.39735371869744"
"350124","闽清县","Minqing County","福州市","Fuzhou City","福建省","Fujian Province","0.708151317853319","0.668268182926923","0.688679941864416","0.722704678268667","0.686868861154702","0.769921680661564","0.883073198804238","0.959770274899738","1.10400053553078","1.2099193705321","1.23695186628882","1.3078900698386","1.43162537666196","1.57253777531002","1.80460723489828","1.80876712098975","1.83635908606332","1.88253153301149","1.71617866229893","1.81463302686233","1.86687231905347"
"350125","永泰县","Yongtai County","福州市","Fuzhou City","福建省","Fujian Province","0.44464096987461","0.418608238814921","0.457094661108517","0.483467869214283","0.463382256599993","0.498959477409868","0.572437403946782","0.623523708935022","0.718973570120665","0.805398712661281","0.838611434772083","0.89708637713622","0.986160607820424","1.08928939095782","1.30126599232816","1.3291440695203","1.3982865043366","1.40028345717","1.2386453658664","1.23279776698293","1.22958481518686"
"350128","平潭县","Pingtan County","福州市","Fuzhou City","福建省","Fujian Province","0.204181228876146","0.193343845877695","0.201906844170633","0.213534687511373","0.209504247185982","0.227997274158173","0.268937836809023","0.292751985292663","0.338319923263593","0.375954981082783","0.409312917579178","0.459060752989707","0.502558277715351","0.628817057507469","0.931337088109489","1.08480779801699","1.22271433385343","1.26653541731451","1.17183657338593","1.22168103430726","1.28710064699998"
"350181","福清市","Fuqing City","福州市","Fuzhou City","福建省","Fujian Province","3.15099178032791","2.92236856311559","2.89131068229301","3.01969475379745","2.86846328069367","3.06048176866749","3.53243272125067","3.84653296831549","4.43681913843562","4.95949995187686","5.12963723418998","5.69536424767149","6.23221910896491","6.99967459998669","8.61373505152359","8.76556374018111","8.87640279501363","9.07725705924548","8.3805525380164","8.60642235525921","8.89418973556863"
"350182","长乐市","Changle City","福州市","Fuzhou City","福建省","Fujian Province","1.75237000792998","1.63316684879489","1.71468920034956","1.79768677597994","1.70966096917628","1.83050295327099","2.12029918895272","2.34399290873549","2.72580198774214","3.17788361368088","3.30487361455624","3.780136389174","4.13645856781427","4.57575813933486","5.4243020794698","5.57307280383757","5.64661832334045","6.35701756741639","6.32279679407559","7.15082592771033","8.15733379999698"
"350203","思明区","Siming District","厦门市","Xiamen City","福建省","Fujian Province","0.98318696932215","0.961378909728324","0.993059183221187","1.03746430891863","0.986969539556244","1.05430272996252","1.1987463308756","1.30346870958099","1.50162265837367","1.64588144446491","1.68721566935103","1.77581857322299","1.94321029609649","2.13178885125859","2.43909478884149","2.43516161332751","2.46229960917023","2.32606095597652","2.07997070543218","2.0814012759895","2.05913223062126"
"350205","海沧区","Haicang District","厦门市","Xiamen City","福建省","Fujian Province","1.08979602660578","1.03177403252121","1.19928926421723","1.32822717206161","1.28094571431694","1.37857099137323","1.65098727185727","1.81551854567471","2.1289314716225","2.45799021543211","2.71647404945798","2.86263356345468","3.13247034259847","3.43720316001327","3.93438934119246","3.94246754748564","3.98640330408108","3.91611313411225","3.55680242885193","3.59175489827365","3.59686007130597"
"350206","湖里区","Huli District","厦门市","Xiamen City","福建省","Fujian Province","0.784768392191065","0.746431043407296","0.761824435180861","0.796522145828218","0.756896204670811","0.806854284466883","0.920013671706206","1.00128782917761","1.15805475284642","1.2720353388497","1.30611771593241","1.37470753792875","1.50428984250136","1.6502734273011","1.88816697972562","1.88512220583454","1.90613043719995","1.78077207068009","1.55530228633676","1.54188177522373","1.49365747423721"
"350211","集美区","Jimei District","厦门市","Xiamen City","福建省","Fujian Province","1.29921602979562","1.21637917350048","1.34651300475832","1.4322537682594","1.36691987863374","1.46536261031573","1.72738688626815","1.88745189063233","2.2018784250873","2.59506712082435","2.98392839722992","3.15898140803968","3.45675244636001","3.79221247515725","4.33972491694814","4.35139144632104","4.39988434401375","4.52706225104264","4.22840366430084","4.28428439684421","4.31972903175471"
"350212","同安区","Tong'an District","厦门市","Xiamen City","福建省","Fujian Province","1.39534753845187","1.31687427983238","1.40294877196574","1.47890738224505","1.41660924779534","1.5187917771541","1.74683660495518","1.92243004991405","2.36858932832939","3.04579132303018","3.65560129405205","3.89046770222409","4.25786689893725","4.68196385495325","5.39767626247397","5.44779390537001","5.51622596219986","5.46654481031603","5.15107090488357","5.50259279602738","6.36486567673464"
"350213","翔安区","Xiang'an District","厦门市","Xiamen City","福建省","Fujian Province","0.612936594701966","0.574084363466099","0.637034788436511","0.67532019826757","0.647001809152957","0.698764863996648","0.798697800471335","0.933004379101551","1.57946772861788","1.93057963258726","2.28404053624724","2.43677531775669","2.6664699638458","2.95568773605578","3.62451015190055","3.73234966585722","3.78766933260584","3.84897928596369","3.64501268793984","3.93579961764968","4.49884714958958"
"350302","城厢区","Chengxiang District","莆田市","Putian City","福建省","Fujian Province","0.697935707941619","0.652004482143739","0.686343057093923","0.745848768757635","0.725118119741884","0.776815766705223","0.884472459141434","0.961291064433725","1.10644959392049","1.26340812102781","1.39585697694307","1.52752156217195","1.67150838034917","1.85104926731628","2.14762706874883","2.16254568077058","2.18693153070885","2.24655717346723","2.24456226665786","2.2727312648435","2.2826733099442"
"350303","涵江区","Hanjiang District","莆田市","Putian City","福建省","Fujian Province","1.15528070552693","1.073040138986","1.09050727815076","1.14697240023222","1.09836617181619","1.17716519195489","1.34636829644975","1.46330368960312","1.68740123050704","1.88418437230066","2.0767389245676","2.24189103582709","2.45321555323017","2.69574367684993","3.09737562605756","3.09605729215069","3.13284804529893","3.11453262273656","2.89228773031379","2.90490433026146","2.90190855510272"
"350304","荔城区","Licheng District","莆田市","Putian City","福建省","Fujian Province","0.973626206199662","0.906033778704954","0.974480949295764","1.02662312968959","0.997254083405969","1.09037357301239","1.24170362322751","1.352286053622","1.56214938714782","1.79350272719502","1.9969924633638","2.23673536699298","2.44757390215568","2.78882840662269","3.3183132564485","3.340393563654","3.38619811540981","3.99304208715298","3.59198045790957","3.62467515165121","3.62184083217194"
"350305","秀屿区","Xiuyu District","莆田市","Putian City","福建省","Fujian Province","0.816462976788901","0.764272565908251","0.939193989261313","0.982527546757976","0.934853480272803","1.02955788541296","1.19272951142566","1.29738555144504","1.49602481062577","1.64760688802929","1.79635271822207","1.95564830215696","2.18580129229946","2.51526823002988","3.06848378208336","3.11472186844608","3.19203931450091","3.80178732233639","3.63779113534519","3.96005074986601","4.25198574001858"
"350322","仙游县","Xianyou County","莆田市","Putian City","福建省","Fujian Province","1.07434164238039","1.01878734607493","1.21015577840003","1.3108081986936","1.29030580478691","1.38681927288975","1.58508210997535","1.72335869991504","1.98303756469291","2.21546953666121","2.29756020657417","2.5475190843135","2.79036062144154","3.0945721334029","3.68201058647666","3.85791136093531","4.08448352309692","4.70694577972486","4.86408677763346","5.03044195461917","4.90979798334349"
"350402","梅列区","Melie district","三明市","Sanming City","福建省","Fujian Province","0.653537095633079","0.614864986325425","0.619391308419286","0.649618076724558","0.64769514918777","0.702088798339127","0.817727741057197","0.89057435110329","1.02563066706021","1.14377736723095","1.2432218583245","1.31737650049337","1.44155468255306","1.58145014305422","1.82896702491575","1.8294112735589","1.85008459776233","1.7747888904792","1.60760372597667","1.60009827950866","1.58601891392857"
"350403","三元区","Sanyuan District","三明市","Sanming City","福建省","Fujian Province","0.453677855565729","0.424919525686007","0.43641323088965","0.456182204637816","0.439115355381539","0.477292349844081","0.544592123236586","0.592195444534872","0.681188097822352","0.749417654794798","0.781985569199856","0.823050972678312","0.900633177531193","0.9994230162038","1.15199146512813","1.15296178115623","1.16809823521779","1.14119171902136","1.05736013013203","1.06323556801489","1.08250464098845"
"350421","明溪县","Mingxi County","三明市","Sanming City","福建省","Fujian Province","0.187548120430174","0.17428861436307","0.173396849970613","0.181011149824244","0.173566122048177","0.194388604695332","0.221083133276929","0.240284746370082","0.27639373255247","0.302911203524119","0.313695539035071","0.336974514997835","0.368738314228507","0.414920231646661","0.48039771941414","0.486692966732859","0.507843932863353","0.478633544270176","0.419613477179091","0.418968640522384","0.415146425343641"
"350423","清流县","Qingliu County","三明市","Sanming City","福建省","Fujian Province","0.20038311749872","0.187153929907976","0.192676149327184","0.20476429532608","0.195753003162191","0.209530972255513","0.238294035424436","0.258990457638132","0.297910459833453","0.326492265570617","0.336032385662178","0.369970795536179","0.419287507855915","0.49141805478438","0.618625365094624","0.705294746677368","0.716586089952456","0.675933564137652","0.57664753265072","0.567017913352822","0.554049102855098"
"350424","宁化县","Ninghua County","三明市","Sanming City","福建省","Fujian Province","0.141577875827527","0.133143878799643","0.136240382119767","0.144589660054763","0.142365820481594","0.158194652966119","0.180084805397093","0.196942244651428","0.227412564758361","0.250956180641185","0.283521202363365","0.312845984854172","0.358357676251449","0.470374964277241","0.643551661856679","0.731877628067774","0.836398369158394","0.778419773163805","0.679500142344032","0.675551215794985","0.657499560417497"
"350425","大田县","Datian County","三明市","Sanming City","福建省","Fujian Province","0.468084484928382","0.43996951745552","0.496588013729856","0.531948648238542","0.516191655918246","0.559775165009295","0.650236278694865","0.710969107139324","0.8186852331301","0.930780945006074","1.05277085024075","1.16105662144297","1.27388481261929","1.41607620824517","1.68875660562919","1.73439161241872","1.80404694393857","1.76396893656124","1.55955947648811","1.6005592628615","1.54914092674082"
"350426","尤溪县","Youxi County","三明市","Sanming City","福建省","Fujian Province","0.401290112428809","0.375157456125521","0.392246108727324","0.414157408749953","0.433915305120442","0.584150683520806","0.673044222191156","0.73149976584816","0.841426489605936","0.925604614312941","0.984388749601623","1.04495095929867","1.14502950207799","1.27323075856729","1.4930285253726","1.54265551047516","1.6213260694455","1.54344891937175","1.35779553652866","1.36155148515303","1.32430485131219"
"350427","沙县","Sha County","三明市","Sanming City","福建省","Fujian Province","0.595648639466783","0.570564607326455","0.62499983186847","0.669595081146615","0.682593264273356","0.75564107385684","0.887131053782106","0.964180564548302","1.11082291247353","1.26149096151184","1.32061707251492","1.43946273848525","1.5753746460399","1.75028999865268","2.03489222657499","2.04263991790322","2.06540356254054","2.04174759678308","1.8130682043477","1.85488560760908","1.81140863766493"
"350428","将乐县","Jiangle County","三明市","Sanming City","福建省","Fujian Province","0.228541529434814","0.215190608123762","0.235791673342788","0.248129012242251","0.235735611836405","0.251757249272929","0.323089211858499","0.352975250838582","0.413715935118095","0.459543135979312","0.49885624133872","0.538458053035097","0.593050360950132","0.666199488878976","0.799341016619519","0.836795170576717","0.871855941047502","0.810510293945472","0.712396469561109","0.709145098796802","0.689108432604218"
"350429","泰宁县","Taining County","三明市","Sanming City","福建省","Fujian Province","0.129659664263878","0.13775597305159","0.162179803072245","0.171753513628657","0.164090474905733","0.187740736010375","0.230178325468701","0.251538588921592","0.290563284664337","0.321124218925886","0.366794534087229","0.388324976585633","0.42628315518828","0.477554371626735","0.56622349121985","0.57973305159928","0.599633292350479","0.568562677664672","0.500638896810545","0.498428804603229","0.489122497350062"
"350430","建宁县","Jianning County","三明市","Sanming City","福建省","Fujian Province","0.0901069181955027","0.0844741473514599","0.100369200892693","0.107193682264694","0.104232118566881","0.112398224247523","0.127752468785972","0.139152242359889","0.163212248399654","0.179254414743703","0.190842882585983","0.215506957266058","0.243719326417862","0.277521228923572","0.345002607456617","0.349253814012249","0.355433563372268","0.357790288895916","0.306813481084717","0.308792069512522","0.301668318852552"
"350481","永安市","Yong'an City","三明市","Sanming City","福建省","Fujian Province","1.0520768515472","1.00143130717945","1.01806385026547","1.07425123169583","1.02556546816083","1.09825252849086","1.27542579735393","1.38619966022993","1.59468687718248","1.74979149023078","1.83632391744952","1.97812701827371","2.16819934094706","2.41153817211821","2.79995958514668","2.86105330879508","2.92925295509695","2.8199591774611","2.47195429468726","2.48286486093443","2.44078612281764"
"350502","鲤城区","Licheng District","泉州市","Quanzhou City","福建省","Fujian Province","0.526758757241733","0.488881990706437","0.523812721306104","0.54851494458854","0.555943151247522","0.593630051830838","0.676402447000426","0.735605897589927","0.846849404611712","0.959538337745706","0.993401863152911","1.04556963955877","1.14412683790608","1.25515845730822","1.43609459754109","1.43377881541871","1.44975717320788","1.38512484245299","1.23093485510441","1.22434308370518","1.19790746932884"
"350503","丰泽区","Fengze District","泉州市","Quanzhou City","福建省","Fujian Province","1.20242967435016","1.14525582529939","1.23200565100414","1.29070938326897","1.22617185156671","1.31664732565965","1.50308545421568","1.63636953857094","1.88769922023652","2.08721156504246","2.15805288378031","2.27591845013226","2.49045045032179","2.73213584513875","3.14014688527427","3.13649720745737","3.17145104695239","2.97927608610347","2.65331090705393","2.6459273582385","2.59602735361684"
"350504","洛江区","Luojiang District","泉州市","Quanzhou City","福建省","Fujian Province","0.463631526761744","0.436207019513142","0.481865639675747","0.508804557749574","0.487764714490915","0.52567406082905","0.65205531713322","0.726329081432601","0.844575278964129","1.07418447680104","1.18933911426788","1.28706116774877","1.40838177423507","1.54778119824279","1.83491534573396","1.85627695155984","1.8952644071049","1.86344851733504","1.65518386293707","1.6747659830459","1.67592436211889"
"350505","泉港区","Quangang District","泉州市","Quanzhou City","福建省","Fujian Province","1.16313886699747","1.08651230903774","1.14565775873441","1.20349270542633","1.14424217078632","1.25066107352747","1.45159267380687","1.80243975568241","2.07732631269657","2.30557603391206","2.36104387593542","2.49080672713822","2.72559446710643","2.99009937817922","3.42793231152708","3.42608093664648","3.46426196319793","3.4595543571852","3.29430614222043","3.43113953374053","3.38476507354527"
"350521","惠安县","Hui'an County","泉州市","Quanzhou City","福建省","Fujian Province","1.45087854617701","1.3543778883548","1.53767017898468","1.63080570245423","1.56498401524531","1.69139014560429","2.20999177656697","2.45394599204281","3.01269168482192","3.6529557417396","3.87759819956531","4.28394834764384","4.69362802793067","5.25879210061955","6.64880640790573","6.8337800936081","6.93681642304734","7.16400556080985","6.72112906649045","6.98927944991466","7.66155018102146"
"350524","安溪县","Anxi County","泉州市","Quanzhou City","福建省","Fujian Province","1.49370552619144","1.46385444138787","1.84906007465293","2.01426673855565","1.96215229852067","2.12103943653951","2.45724107814946","2.68677886969635","3.1152022717053","3.49785753689718","3.65991191357657","3.8962420513183","4.2682475369143","4.72825865406896","5.61861389286491","5.72182382097963","5.86022159915628","5.99531934510004","5.59176219448351","5.844930493809","6.02696035772092"
"350525","永春县","Yongchun County","泉州市","Quanzhou City","福建省","Fujian Province","0.930013410038176","0.90045071724207","0.998434018193322","1.07376398768554","1.03550334199315","1.17593410516138","1.33825258649402","1.45478726821279","1.67480607307427","1.84123999914281","1.93625191551816","2.06082394637293","2.25508076749416","2.50189967841358","2.96141400735545","3.08220025823442","3.15286441652665","3.22318904162836","2.86743225981488","2.95999662170885","2.94464842806048"
"350526","德化县","Dehua County","泉州市","Quanzhou City","福建省","Fujian Province","0.481836267501824","0.460602570687917","0.517152599710198","0.544738803508761","0.534102940150914","0.577256597477146","0.666747550673775","0.726633239339399","0.840726758637449","0.947843664698256","1.02161682731347","1.10558162478788","1.21069832058503","1.34403456897955","1.6159604889491","1.66623762927949","1.69481474666728","1.70199789215852","1.50781361096077","1.52103245079078","1.47961527694029"
"350527","金门县","Kinmen County","泉州市","Quanzhou City","福建省","Fujian Province","0.352438541953631","0.335469171378499","0.522877967397907","0.671787679192938","0.751927267754651","0.847603257332086","0.974444898823121","1.06014238414294","1.21945614533118","1.33645189858648","1.36920951079143","1.44399972705927","1.58011363294247","1.73345552624697","1.98787216677384","1.98466661274329","2.00678418965935","1.77935872396161","1.5616507061668","1.56002101140022","1.52804087012108"
"350581","石狮市","Shishi City","泉州市","Quanzhou City","福建省","Fujian Province","1.30576449768774","1.26529164675139","1.31344608525584","1.38401661124028","1.31607494274746","1.4563756767231","1.65882312974556","1.8035043083562","2.08099990028112","2.33740088187725","2.44862782718381","2.66094379866406","2.91176895256452","3.19434113898381","3.68314359996584","3.67720432680265","3.71818392962961","3.52172817914077","3.09914134857545","3.10103833895871","3.03733242745613"
"350582","晋江市","Jinjiang City","泉州市","Quanzhou City","福建省","Fujian Province","4.15657450984109","3.88022771670427","4.27112429503086","4.50274371013","4.35244206853833","4.78166421467474","5.61173358232356","6.21577098331518","7.23434355044771","8.39428294069845","9.04211226445376","9.59057516522297","10.4948249948047","11.5256720194164","13.3585122908551","13.353655949521","13.5159116974393","13.3715677637935","12.150568138293","12.3704100616147","12.3324405578208"
"350583","南安市","Nan'an City","泉州市","Quanzhou City","福建省","Fujian Province","3.2915219012927","3.13998658926669","3.67440076888536","3.94387483032271","3.86710404416927","4.19739042247458","4.84046128446126","5.32915068500025","6.17635032609496","7.15848191670068","7.78889760632239","8.24123351795808","9.01806640954687","9.98011891310969","12.2288978421384","12.5836007790308","12.7464251978135","12.6828228298153","11.9376713235253","12.4898350906386","12.7621638031573"
"350602","芗城区","Xiangcheng District","漳州市","Zhangzhou City","福建省","Fujian Province","0.75150217529912","0.70734961316711","0.766147672006274","0.80042009791057","0.761287358224626","0.812394175037681","0.94170220693274","1.02349135637383","1.18499439513318","1.31402113224956","1.37822262434272","1.47101543175004","1.60967588457279","1.78321624615209","2.1354471737401","2.22419534186748","2.24898228151479","2.43853690528322","2.41020012026244","2.46446225691637","2.47549423009119"
"350603","龙文区","Longwen District","漳州市","Zhangzhou City","福建省","Fujian Province","0.679992905917224","0.64132384282344","0.706089733404593","0.736956565569769","0.730202613330512","0.777923744819383","0.884332533107714","0.961138985480327","1.11187250892626","1.22679037427268","1.29436148086551","1.3959488935253","1.52753344492825","1.67750566207504","1.95813056268275","2.00757313819673","2.03023193881183","2.07867374279974","2.04726455116","2.04776421541825","2.07339326816729"
"350622","云霄县","Yunxiao County","漳州市","Zhangzhou City","福建省","Fujian Province","0.675016070319217","0.674336727995275","0.761590746703812","0.824538676420126","0.790523196359239","0.844525540348309","0.967028819035983","1.0522342785662","1.21035964274085","1.32820811266778","1.37214856955815","1.58773977415443","1.75906680502522","1.9631965614308","2.35950059122629","2.38086466410456","2.42426850383756","2.55933035503051","2.36515535990499","2.43788739065007","2.65598108609092"
"350623","漳浦县","Zhangpu County","漳州市","Zhangzhou City","福建省","Fujian Province","1.42808987791244","1.36493715677373","1.49490518768465","1.651148139884","1.60958889081828","1.71970514185503","1.98135263746918","2.1545025328006","2.48159587974008","2.76416059013338","2.91084380256403","3.13340929062247","3.43869916292165","3.79270760669859","4.60513332678956","4.70290763321757","4.95576756782363","5.45236096335071","4.86228805704551","5.03922099934093","5.626443742357"
"350624","诏安县","Zhao'an County","漳州市","Zhangzhou City","福建省","Fujian Province","0.799829868342929","0.75941772985357","0.810665326884174","0.871314101408356","0.830274691688515","0.888967773594044","1.01782196927619","1.10637438597617","1.27281063167833","1.3974175711945","1.43132161939488","1.51019851488932","1.65548609129763","1.83322453182788","2.23968441474505","2.28273424024848","2.31903958081182","2.5439904157118","2.37345264153239","2.53631132709435","2.75094555625096"
"350625","长泰县","Changtai County","漳州市","Zhangzhou City","福建省","Fujian Province","0.604685525157902","0.572385170846961","0.628622003262735","0.674102088241835","0.644690675703581","0.69556403833352","0.802195951314324","0.873845666229424","1.02825465819204","1.15374659671402","1.26653839120718","1.39120567819792","1.53159543370188","1.78569190385881","2.51897223982898","3.20549958042821","3.34444968399199","3.70118346166593","3.3178863715938","3.32517296370092","3.25591224081531"
"350626","东山县","Dongshan County","漳州市","Zhangzhou City","福建省","Fujian Province","0.395003583252378","0.367025605733929","0.414797046762585","0.432794492143701","0.410803970626677","0.439128659245251","0.501494904850957","0.545811363748242","0.627833611475198","0.690177425751157","0.709488786287316","0.830268909046074","0.912593477809107","1.0127915678201","1.2692583612587","1.38909695095398","1.40829468995046","1.4142551382872","1.322394831637","1.36090969630918","1.38539477854856"
"350627","南靖县","Nanjing County","漳州市","Zhangzhou City","福建省","Fujian Province","0.871732045798352","0.840978975572221","0.960109107957229","1.01066588835246","0.964898215114698","1.04433092693509","1.23974465875544","1.34757160606664","1.55007902794141","1.70224593423459","1.74384153492326","1.87810704289185","2.05559198550029","2.27810022172588","2.66768026028442","2.69674847807353","2.72908924281973","2.7196790443742","2.40876120519579","2.48738287137959","2.68072883058023"
"350628","平和县","Pinghe County","漳州市","Zhangzhou City","福建省","Fujian Province","0.515364423109453","0.52772067914389","0.630958888033228","0.674711143254702","0.641455088874454","0.68866995228986","0.786804087605171","0.855900349728367","0.984521472661581","1.1008329940731","1.14211823674918","1.24437222980229","1.36415122981109","1.52871863390103","1.94311813395106","2.07572712133596","2.12516672806331","2.12644266458971","1.8862324885076","1.8787830248746","1.85295096803032"
"350629","华安县","Hua'an County","漳州市","Zhangzhou City","福建省","Fujian Province","0.322446559007744","0.32272522673496","0.3561412390232","0.383704658106574","0.366545765071116","0.39862590373875","0.469731695196614","0.512049836093712","0.588998542724155","0.646466188786917","0.676179453597771","0.719525142489258","0.787348823955483","0.876135262409029","1.11006996602831","1.14051873029263","1.15837599776433","1.13827276568957","1.06702512989101","1.10348827991499","1.16360078882447"
"350681","龙海市","Longhai  City","漳州市","Zhangzhou City","福建省","Fujian Province","2.39817991145036","2.26793666294451","2.47943474149354","2.62417442844124","2.51717099638844","2.71368461893554","3.20500580234687","3.54708950907328","4.09709975323506","4.63856744890257","4.98013711158926","5.28703527600949","5.81699358988263","6.5850019341107","7.84413563899516","7.99352899341719","8.18469419501563","9.24380165669757","8.82686564666792","9.68513752206195","10.1969578229924"
"350702","延平区","Yanping District","南平市","Nanping City","福建省","Fujian Province","1.21644339563929","1.13311873516269","1.16540443504508","1.21981537977118","1.16677572191774","1.30310537093103","1.49762833890061","1.6283093540408","1.87335473538253","2.05749559254484","2.12160855507292","2.25921408310972","2.47239716688343","2.72198564854119","3.17045499610995","3.22388136011307","3.27210479941179","3.1354110533593","2.75463008063473","2.77162120683581","2.7854904016322"
"350721","顺昌县","Shunchang County","南平市","Nanping City","福建省","Fujian Province","0.411898630414035","0.40185905442627","0.418886595110949","0.437545121244068","0.415541794197899","0.442698810946431","0.503313943289312","0.547027995375433","0.629233073412173","0.689602277896364","0.704786292260557","0.74179763185264","0.811720756597269","0.890989208649363","1.04832073086777","1.05030661153157","1.07116180884354","1.01161716643745","0.897301023661142","0.917694471685627","0.944701491068686"
"350722","浦城县","Pucheng County","南平市","Nanping City","福建省","Fujian Province","0.247139178248421","0.252694216646177","0.267456461982974","0.281992470957688","0.274100427096055","0.297184351953472","0.340160187972287","0.370920567339639","0.43435799868847","0.481207038509834","0.504538421621055","0.545882216156224","0.597338015766742","0.660505476153515","0.772998452995984","0.774862712869282","0.814094412647503","0.762950991651458","0.661265636475652","0.662222631218072","0.643200080838233"
