unit_id,county_cn,lon,lat,original_names,boundary_match
350102,鼓楼区,119.29271322292121,26.091424559318874,鼓楼区,yes
350103,台江区,119.30387613846148,26.065035598856163,台江区,yes
350104,仓山区,119.27899752669371,26.034164808281076,仓山区,yes
350105,马尾区,119.51712056855985,26.07134837005735,马尾区,yes
350111,晋安区,119.2889467434601,26.19804497779718,晋安区,yes
350121,闽侯县,119.1470944336512,26.15122145399673,闽侯县,yes
350122,连江县,119.64218734019619,26.31631998241152,连江县,yes
350123,罗源县,119.44840927602418,26.502192490836507,罗源县,yes
350124,闽清县,118.78429272198083,26.23640410634226,闽清县,yes
350125,永泰县,118.75120904015914,25.863597074442254,永泰县,yes
350128,平潭县,119.72864453185211,25.51416543618111,平潭县,yes
350181,福清市,119.31545612552895,25.68394370709624,福清市,yes
350182,长乐市,119.53993614568212,25.8837987663845,长乐市,yes
350203,思明区,118.1310820673818,24.488778425597847,思明区,yes
350205,海沧区,117.94856887700479,24.543702413010752,海沧区,yes
350206,湖里区,118.12985425679663,24.49628260914444,湖里区,yes
350211,集美区,118.01828034231413,24.651721971469073,集美区,yes
350212,同安区,118.08052558009463,24.781123911084787,同安区,yes
350213,翔安区,118.28104630469335,24.704947823719696,翔安区,yes
350302,城厢区,118.93916943638625,25.448258863026936,城厢区,yes
350303,涵江区,119.06102600319953,25.615486344024752,涵江区,yes
350304,荔城区,119.05853025669624,25.419125890974072,荔城区,yes
350305,秀屿区,119.26368307830198,25.23489608039264,秀屿区,yes
350322,仙游县,118.69605908872055,25.445876647560734,仙游县,yes
350402_350403,三元区（含原梅列区）,117.56208165227295,26.238491413071188,梅列区|三元区,yes
350421,明溪县,117.24827297780901,26.417153250630633,明溪县,yes
350423,清流县,116.89232434983506,26.09862473861263,清流县,yes
350424,宁化县,116.70893173897186,26.244429860488957,宁化县,yes
350425,大田县,117.819358483446,25.84613733391206,大田县,yes
350426,尤溪县,118.17124668445527,26.137636469298148,尤溪县,yes
350427,沙县,117.802702760925,26.450485663177286,沙县,yes
350428,将乐县,117.39586484186991,26.747136754008306,将乐县,yes
350429,泰宁县,117.164467315308,26.88938609562022,泰宁县,yes
350430,建宁县,116.83470540774161,26.864563668574178,建宁县,yes
350481,永安市,117.31397563453638,25.929181003831278,永安市,yes
350502,鲤城区,118.55716126474975,24.902585464077205,鲤城区,yes
350503,丰泽区,118.59705567320795,24.93247730888424,丰泽区,yes
350504,洛江区,118.6323320720509,25.128732498002357,洛江区,yes
350505,泉港区,118.8319650686928,25.17591456032412,泉港区,yes
350521,惠安县,118.79805261042439,24.991959606701627,惠安县,yes
350524,安溪县,117.90710649924026,25.130554278406525,安溪县,yes
350525,永春县,118.12612541592479,25.392645296899644,永春县,yes
350526,德化县,118.24031798403242,25.656687107849628,德化县,yes
350581,石狮市,118.6546693288303,24.739768788347348,石狮市,yes
350582,晋江市,118.53363500446362,24.79274735461204,晋江市,yes
350583,南安市,118.37176734101746,25.01534437009781,南安市,yes
350602,芗城区,117.6223219952174,24.574031047590054,芗城区,yes
350603,龙文区,117.69291009989324,24.53471335829136,龙文区,yes
350622,云霄县,117.31694774901243,24.005603002048936,云霄县,yes
350623,漳浦县,117.64779455393602,24.16445279737994,漳浦县,yes
350624,诏安县,117.10767236691854,23.89265394329613,诏安县,yes
350625,长泰县,117.77487979864422,24.734947156677947,长泰县,yes
350626,东山县,117.41251741997665,23.707102463210457,东山县,yes
350627,南靖县,117.29553930773879,24.666227662259995,南靖县,yes
350628,平和县,117.2339618446026,24.299830399798815,平和县,yes
350629,华安县,117.54514431492274,24.898559268498197,华安县,yes
350681,龙海市,117.80565697892571,24.400677941654433,龙海市,yes
350702,延平区,118.22255656304881,26.564290632842457,延平区,yes
350721,顺昌县,117.82421720180406,26.904508407641526,顺昌县,yes
350722,浦城县,118.51503706270995,27.974530382674978,浦城县,yes
350723,光泽县,117.32033512416345,27.621192451633224,光泽县,yes
350724,松溪县,118.76472233061709,27.605003162850757,松溪县,yes
350725,政和县,118.95999712661411,27.314677988883293,政和县,yes
350781,邵武市,117.46125198329972,27.214100390321786,邵武市,yes
350782,武夷山市,118.02203053953603,27.741677849634595,武夷山市,yes
350783,建瓯市,118.4530258687515,27.05337163043764,建瓯市,yes
350784,建阳市,118.09141323745615,27.42246769627776,建阳市,yes
350802,新罗区,117.03110034620735,25.220860978070263,新罗区,yes
350821,长汀县,116.38706290640705,25.685415773458686,长汀县,yes
350822,永定县,116.76092719042082,24.74728265493571,永定县,yes
350823,上杭县,116.56833307930503,25.160774300934495,上杭县,yes
350824,武平县,116.14863264876843,25.143540255186863,武平县,yes
350825,连城县,116.78547351268612,25.596888130320057,连城县,yes
350881,漳平市,117.41403546070806,25.35257566213054,漳平市,yes
350902,蕉城区,119.42470173134599,26.767903431554856,蕉城区,yes
350921,霞浦县,119.98270281284897,26.849206354790365,霞浦县,yes
350922,古田县,118.90099373923194,26.595527365257112,古田县,yes
350923,屏南县,118.99036654552435,26.96509929609465,屏南县,yes
350924,寿宁县,119.50027375950894,27.414085384642632,寿宁县,yes
350925,周宁县,119.31578139385863,27.102028127588373,周宁县,yes
350926,柘荣县,119.87706657038669,27.20908607561693,柘荣县,yes
350981,福安市,119.61515139632216,27.090274282583707,福安市,yes
350982,福鼎市,120.19424307437801,27.207047611651497,福鼎市,yes
